"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.467919004635277,0.535346215780998,0.492899587068184,0.530801687763713,0.53173420738975,0.467287977632805,0.427672955974843,0.546798662895346,0.503147128245476,0.539955741332678,0.488816402609506,0.498249124562281,0.534011479229414,0.462339252908757,0.482456140350877,0.55638166047088,0.477034821619312,0.536071133926116,0.54115038476588,0.470156106519743,0.486840768214612,0.527426160337553,0.458606557377049,0.53536,0.49274775139778,0.484277456647399,0.483191117507968,0.51827485380117,0.435523114355231,0.49317738791423,0.496756917584052,0.513539651837524,0.514089683901005,0.475378787878788,0.474208973445925
"BARTLETT_U.",0.470503250662172,0.552044025157233,0.481492478226445,0.54709351305813,0.543913043478261,0.443568945538818,0.518123667377399,0.569607077803799,0.486677115987461,0.553664921465969,0.459568733153639,0.472384059659753,0.552742123687281,0.517378917378917,0.464140306921391,0.582193316887194,0.469661714694827,0.554738724418836,0.545137491616365,0.456356736242884,0.464354705178916,0.537889688249401,0.45900439238653,0.566678584197354,0.482275754014884,0.458236882716049,0.468608852755194,0.532202082529888,0.440715883668904,0.479591836734694,0.474301011302796,0.520192887281495,0.541482300884956,0.450367647058824,0.461538461538462
"BORDER",0.503890528575262,0.510250988323986,0.514688320993551,0.524303531880173,0.505518420643557,0.477080165109711,0.454976303317536,0.540598290598291,0.51920260374288,0.51534793622411,0.503318019397652,0.49433231960188,0.513379583746283,0.467940813810111,0.500169836956522,0.531763551631101,0.497819450501526,0.517321878793538,0.513113807047949,0.45615763546798,0.507635597682991,0.504069836026896,0.497348886532344,0.517457826598666,0.510297285652736,0.494566375452802,0.514218009478673,0.500985027580772,0.468384074941452,0.46412037037037,0.508560677328316,0.493940038273442,0.503656204297446,0.456211812627291,0.500578569775515
"CHALET",0.531269543464665,0.478705752212389,0.552736450584485,0.462326009432877,0.460153846153846,0.526055175666116,0.426339285714286,0.494764059469942,0.553288722049943,0.47154258798901,0.535342465753425,0.53870458135861,0.476238564809314,0.492271105826397,0.530033370411568,0.495457986373959,0.545632973503435,0.482893896542286,0.455254558870033,0.435975609756098,0.542212964097537,0.465673494723774,0.557763440860215,0.461948249619482,0.549744587691559,0.534637414892467,0.537430287430287,0.457917261055635,0.426900584795322,0.442036836403034,0.549383949383949,0.457762797556351,0.465986817560005,0.50261780104712,0.551223040504997
"CLUB_HOUSE",0.516246583662314,0.500448591422932,0.521550162984426,0.491691952030053,0.490826361367973,0.502666357523765,0.411504424778761,0.525211676987236,0.521690286899412,0.500799302426973,0.515934065934066,0.496231155778894,0.505651464882191,0.458152510849349,0.507047343693531,0.521333673990802,0.510801728276524,0.510285818314218,0.490825195836463,0.460227272727273,0.533016376122557,0.500788110785859,0.526201431492842,0.512358049432198,0.515348837209302,0.52132954141486,0.516229640753148,0.482654902747143,0.45609756097561,0.490118577075099,0.518092001762004,0.486073860119662,0.491925738767439,0.438077634011091,0.526949541284404
"COASTLINE",0.499754058042302,0.516343774003585,0.524167009461127,0.489092422980849,0.500978179082017,0.478626799557032,0.451306413301663,0.530881599179908,0.525102207686018,0.50428905640759,0.500707213578501,0.511066398390342,0.516386129780527,0.466911764705882,0.497302001740644,0.538576520639301,0.510273289447437,0.508606723369785,0.514238070805541,0.421330517423442,0.511773940345369,0.499654934437543,0.503634711494775,0.502508960573477,0.514458641560188,0.504018691588785,0.51036408549028,0.497013142174432,0.419847328244275,0.479781420765027,0.515508797387992,0.489724699495929,0.494483224498987,0.428849902534113,0.498116760828625
"CONSULATE",0.476379152697348,0.534727601342628,0.484604281934087,0.51756290714012,0.518975765889346,0.479438800193517,0.492753623188406,0.548573631457209,0.497243478976384,0.520526277949529,0.480134303301623,0.48198066217404,0.531534140267562,0.480494148244473,0.478319522065909,0.54737676754328,0.494502868068834,0.537595043649676,0.524718223412566,0.473969631236443,0.485823582358236,0.521177049987688,0.494225408203903,0.538409245411285,0.485513539117392,0.49279893879098,0.490270340864568,0.533082408874802,0.434782608695652,0.504424778761062,0.491412275584937,0.50848167539267,0.523003230477888,0.436853002070393,0.496758452422447
"FAVELAS",0.540513336688475,0.474810606060606,0.536394917946003,0.471886394166187,0.462795187880588,0.527125914711078,0.439080459770115,0.488611782669551,0.569129216023149,0.478933791917455,0.5465,0.540359427353031,0.475351301543423,0.458283671036949,0.546690402977828,0.489873108833577,0.543933054393305,0.478123504068933,0.473717948717949,0.451508620689655,0.543900136368405,0.451048558932376,0.544662309368192,0.459112577924459,0.548138019786053,0.54293028751477,0.532987012987013,0.459042839218498,0.473404255319149,0.392900856793146,0.555639762536314,0.463494132985658,0.467094370860927,0.469473684210526,0.550545799715235
"HEREFORD_BASE",0.495196266813066,0.523569183887249,0.493765586034913,0.53433608679571,0.511072763876905,0.474188941032442,0.442764578833693,0.548209366391185,0.498481215027978,0.530691642651297,0.484009546539379,0.477205447010065,0.528358553771514,0.480897513644633,0.492984917572781,0.554811982154238,0.489427417438822,0.532035069971337,0.531679267383665,0.460743801652893,0.485790313996807,0.515088013411568,0.475596410593128,0.52238303601481,0.49531449134118,0.485038274182324,0.48512585812357,0.528047464940669,0.466992665036675,0.485537190082645,0.489738232763918,0.50268182793392,0.519570986289253,0.535433070866142,0.486297219042489
"HOUSE",0.527042253521127,0.466776431847583,0.541436464088398,0.468041448650867,0.472709818979704,0.511671087533156,0.446428571428571,0.487210279812658,0.554928866066167,0.477644918118014,0.513416815742397,0.541723202170963,0.472834945126589,0.488356620093147,0.52675363962942,0.489965736661772,0.546306384833297,0.479320324899636,0.468674194897532,0.442226890756303,0.543824947459513,0.459672806315067,0.555485398579321,0.485657104736491,0.554356076579236,0.536543681512014,0.544086021505376,0.439138776380303,0.514360313315927,0.42246982358403,0.548262290707758,0.459698492462312,0.457217973231358,0.449152542372881,0.551969130887487
