"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.534204891243097,0.506912442396313,0.475315611208047,0.453074433656958,0.558285996542356,0.512560220233999,0.491942324003393,0.461157024793388,0.488484848484848,0.49248790425261,0.478149757219525,0.492528392109982,0.5052167274578,0.520397150874164,0.492445703493862,0.466321243523316,0.474206349206349,0.497584541062802,0.478749266493419,0.485411140583554,0.535542857142857,0.455801104972376,0.518845807033363,0.44969040247678,0.477856618546611,0.541695030633084,0.544640470462443,0.53688989784336,0.540418547394337,0.534442049070937,0.483191117507968,0.535516801361123,0.469092855231469,0.495823095823096,0.498196361355082,0.496191512513602,0.465894465894466,0.472163407647279,0.549657534246575,0.534877384196185,0.471380471380471,0.536585365853659,0.530120481927711,0.492063492063492,0.517799352750809,0.531260854463355
"BARTLETT_U.",0.553551817813999,0.474381625441696,0.462148715880059,0.454362416107383,0.583059110298598,0.527595884003742,0.458908147624101,0.453593526891956,0.478881278538813,0.487964989059081,0.462974750689582,0.467423789599522,0.489605252083158,0.531934516947199,0.48093023255814,0.449561403508772,0.464464464464464,0.468965517241379,0.465291262135922,0.51634683724236,0.554235768713581,0.444444444444444,0.523336816440265,0.494117647058824,0.471808296415626,0.561385890032639,0.541907117339929,0.570583262890955,0.554764179623035,0.558865717753503,0.468608852755194,0.539280958721704,0.473112582781457,0.460934089917067,0.471766561514196,0.486404833836858,0.518417462482947,0.449191848208011,0.517447657028913,0.546891464699684,0.452495974235105,0.572230014025245,0.535,0.48182813900229,0.534825656478691,0.547994514912581
"BORDER",0.513402188614287,0.502804691483937,0.500271296798698,0.513085399449036,0.536510479241757,0.496474175719459,0.492319915254237,0.49391592920354,0.486409155937053,0.521582169204207,0.502497729336966,0.493261455525606,0.520487168334058,0.493588350358618,0.511389813155874,0.502127659574468,0.485714285714286,0.518867924528302,0.505488115141383,0.497831164497831,0.510096344199551,0.521875,0.507509605309116,0.462039045553145,0.50197628458498,0.528295160859103,0.510262190058133,0.519644527595884,0.514744503639229,0.515806111696523,0.514218009478673,0.503062117235346,0.502201350161432,0.492323439099283,0.507386736703874,0.466595970307529,0.511904761904762,0.485886813649768,0.529122231337162,0.510606060606061,0.466542750929368,0.478129713423831,0.488576449912127,0.511225648641565,0.499545537175059,0.524358365019011
"CHALET",0.47614571092832,0.545031958163858,0.552106723022058,0.551487414187643,0.494925622132629,0.458550724637681,0.531175378084373,0.555642327215931,0.542857142857143,0.551706657654613,0.522202486678508,0.551273227804542,0.558434736934255,0.462724344224574,0.550157187767934,0.513924050632911,0.48847420417124,0.4375,0.549813156595925,0.450187265917603,0.478880890941192,0.562248995983936,0.468964239392255,0.472754050073638,0.554558204768583,0.482788148655592,0.455742659758204,0.464613970588235,0.472424899756787,0.483735679214403,0.537430287430287,0.453190498369818,0.528653780942692,0.561941251596424,0.54835953520164,0.416761041902605,0.455012853470437,0.529769137302552,0.475949367088608,0.478335724533716,0.483365949119374,0.500682128240109,0.461406518010292,0.550237665956401,0.466931592392847,0.462375658279696
"CLUB_HOUSE",0.504649997215571,0.503199534613147,0.526224908266782,0.495479204339964,0.52518384903566,0.485063480209111,0.526613693262218,0.523242944106253,0.5,0.521427458313854,0.508785140562249,0.50258064516129,0.526521133302369,0.494503171247357,0.52264631043257,0.46524064171123,0.452099031216362,0.5,0.532118451025057,0.481614996395097,0.503480278422274,0.4875,0.501353637901861,0.4816,0.509349706949484,0.513462793733681,0.489914492435869,0.514252245216712,0.498474502397211,0.51100170802773,0.516229640753148,0.478497057492078,0.519340733266061,0.519978106185003,0.51621153370184,0.468427095292767,0.482233502538071,0.505430739473293,0.503388189738625,0.493506493506494,0.519725557461406,0.476650563607085,0.501694915254237,0.515487045882183,0.49052540913006,0.492198999116868
"COASTLINE",0.515890394744629,0.518850987432675,0.499230496034095,0.501624431448993,0.543659172773568,0.498659517426273,0.505768132495717,0.512447158290277,0.504318936877076,0.524650278419123,0.495641646489104,0.501547987616099,0.526682943843739,0.496744791666667,0.517515527950311,0.490280777537797,0.502958579881657,0.492610837438424,0.510082339102672,0.471764293230445,0.517958880356701,0.475452196382429,0.488331892826275,0.461420932009167,0.516309204647006,0.51843337590464,0.513868805047982,0.504704875962361,0.504584775086505,0.511978097193703,0.51036408549028,0.508246527777778,0.502310410437619,0.520725388601036,0.513477301387137,0.436913451511992,0.486449864498645,0.485746071478237,0.481981981981982,0.512764205325281,0.459962756052142,0.475232198142415,0.475961538461538,0.515776106281137,0.495465146410987,0.489994869163674
"CONSULATE",0.53224043715847,0.489085239085239,0.496209994385177,0.460561497326203,0.551282051282051,0.530930707783764,0.497510133178923,0.488833746898263,0.462154294032023,0.484632101831729,0.474355567366463,0.488779803646564,0.496916842847075,0.528485409911996,0.49359631147541,0.487031700288184,0.501126126126126,0.486631016042781,0.490948121645796,0.499825235931492,0.539672700223159,0.424657534246575,0.50849004929706,0.481687898089172,0.495867768595041,0.542324003392706,0.521983054728647,0.545967741935484,0.520121378513113,0.536806933277644,0.490270340864568,0.500228206298494,0.481431917029107,0.484749455337691,0.490288354582014,0.490384615384615,0.5,0.480067985166873,0.544609665427509,0.523501266535322,0.485559566787004,0.504,0.492845786963434,0.4856,0.520381996639844,0.518103672831467
"FAVELAS",0.474666513997824,0.541436464088398,0.551393658653462,0.536231884057971,0.49253112033195,0.452799712849964,0.544050205165339,0.536164565361646,0.535574667709148,0.535161118034538,0.553037171350861,0.530843237125071,0.572241853160581,0.453490965871068,0.538676134922648,0.519280205655527,0.521598272138229,0.453441295546559,0.545396825396825,0.466019417475728,0.4766201804758,0.515,0.466495623302143,0.463618802318094,0.54978354978355,0.477841345743318,0.471685393258427,0.460411899313501,0.479068417615904,0.482097044060234,0.532987012987013,0.473160173160173,0.543368774482373,0.542490646712988,0.560329067641682,0.432227488151659,0.461619348054679,0.53484453974575,0.454054054054054,0.470733210104744,0.510033444816054,0.469979296066253,0.462050599201065,0.549247382198953,0.465810822858162,0.472774244833068
"HEREFORD_BASE",0.528617400298816,0.479257641921397,0.487027981526759,0.46159122085048,0.559230588787239,0.528028293545535,0.489825581395349,0.472750642673522,0.477557027225901,0.497004099653106,0.486189195795649,0.51024208566108,0.499046628531808,0.507361963190184,0.487446107025108,0.449864498644986,0.491379310344828,0.52156862745098,0.483252565564424,0.518006430868167,0.525099711181406,0.5,0.51652574942352,0.466377440347072,0.489566172432729,0.533672891907187,0.526812150455094,0.52670501232539,0.531997693859902,0.532837086591916,0.48512585812357,0.519935561820379,0.494698576189034,0.48609731876862,0.491076430572229,0.482479784366577,0.485748218527316,0.475905218317359,0.525220176140913,0.520123839009288,0.488536155202822,0.512387387387387,0.470119521912351,0.497066219614417,0.512018796313031,0.533770988511552
"HOUSE",0.473323992239707,0.552550706822373,0.553166584524396,0.533022014676451,0.490623349181194,0.442680776014109,0.53804347826087,0.551555136663525,0.508268059181897,0.540802987861811,0.538681948424069,0.503613118399111,0.559159433531293,0.466885245901639,0.533785617367707,0.557103064066852,0.504306220095694,0.413636363636364,0.552686436688858,0.434458398744113,0.471917366042608,0.494949494949495,0.461385482267153,0.463246554364472,0.550333846944016,0.488186560294569,0.465840647048701,0.485781067393845,0.47960388247639,0.483937823834197,0.544086021505376,0.445347786811201,0.529972333230864,0.549420586230402,0.55242989026302,0.407119021134594,0.423512747875354,0.514290517821116,0.437323279924599,0.452969224100564,0.523741007194245,0.481666666666667,0.49644128113879,0.554579566774689,0.461290899338459,0.468851090472712
"KAFE_DOSTOYEVSKY",0.513708914965797,0.500454545454545,0.511061712713031,0.503908598917619,0.539820806371329,0.492751060820368,0.519505979219761,0.484049340706083,0.516959798994975,0.52780421481985,0.509935205183585,0.511713933415536,0.519422095336967,0.496477322765302,0.508763505402161,0.516703786191537,0.468306527909177,0.5,0.515513320337882,0.486831913245546,0.50857998387654,0.539325842696629,0.500090628965017,0.453022578295703,0.518008474576271,0.513659414362833,0.499870331950207,0.513729977116705,0.506097068561738,0.517411462957483,0.498845532209651,0.495737999102737,0.508322324966975,0.48936170212766,0.510595358224016,0.481481481481481,0.459239130434783,0.48195913635705,0.504657070279424,0.512409513960703,0.478076379066478,0.524967989756722,0.508797653958944,0.518432254437395,0.49802371541502,0.509386382740263
"KANAL",0.516226905781004,0.486813186813187,0.496144380639869,0.490956072351421,0.537568484216019,0.510430127376777,0.512170385395537,0.492601024473534,0.514200298953662,0.497444089456869,0.486877828054299,0.470622796709753,0.509891512444161,0.496450544249882,0.507352941176471,0.436657681940701,0.497991967871486,0.457547169811321,0.499255194041552,0.507913139492087,0.509361233480176,0.461325966850829,0.504022450888681,0.490056818181818,0.507862407862408,0.528200253485425,0.510039233787214,0.526016260162602,0.525134904856575,0.527078891257996,0.499247047634144,0.495018115942029,0.495124923826935,0.501131221719457,0.501785410644448,0.527098831030818,0.505633802816901,0.472,0.526457399103139,0.526714664645699,0.48127600554785,0.54585798816568,0.491921005385996,0.504305370616955,0.507876204595997,0.51284557386205
"OREGON",0.519385557193062,0.491431451612903,0.493419210305237,0.48169014084507,0.536882617062219,0.505607814761216,0.495886037087069,0.485265225933202,0.480329949238579,0.511167298777918,0.505371428571429,0.487306501547988,0.512389084212289,0.497621509824199,0.516902421481659,0.46583850931677,0.47588424437299,0.461847389558233,0.509480626545754,0.497183979974969,0.51433389544688,0.509259259259259,0.504644434292675,0.470588235294118,0.505100771336153,0.521253382211748,0.517045454545455,0.518487394957983,0.519817578772803,0.518550661748752,0.497872340425532,0.547884187082405,0.493319080705505,0.493061979648474,0.502544828126223,0.445794392523365,0.473246135552913,0.488940771688376,0.524381625441696,0.524215809284818,0.499025341130604,0.511656441717791,0.493046776232617,0.500861616842736,0.504256828662646,0.510522331566995
"PLANE",0.528821123094087,0.474566128067026,0.479592907354947,0.455525606469003,0.54468085106383,0.516188870151771,0.48506061123442,0.466882067851373,0.472373540856031,0.498090388287715,0.48006422263848,0.505532503457815,0.504641117544343,0.513993316624896,0.501154142087715,0.450276243093923,0.480371900826446,0.485714285714286,0.480677217519323,0.511187154514346,0.529510255336961,0.494082840236686,0.51380985426787,0.466957605985037,0.494419932520114,0.537102146558105,0.520357497517378,0.545096494682946,0.528901232424926,0.53867116532572,0.505809196530846,0.520306859205776,0.473015873015873,0.46738597351643,0.496128077960498,0.498540145985401,0.509578544061303,0.477807283763278,0.532822757111597,0.527985497394063,0.473594548551959,0.571428571428571,0.521516393442623,0.486491539684024,0.510681884694176,0.527423068871677
"SKYSCRAPER",0.511389588335188,0.513915547024952,0.504054714215926,0.49968886123211,0.538223254784821,0.518700966976829,0.49782182531039,0.5,0.47352587244284,0.502196400736857,0.497647562018819,0.497371879106439,0.51939793947199,0.493370402053037,0.501071173530112,0.5,0.484184914841849,0.537037037037037,0.505562703398168,0.469924812030075,0.512125357542594,0.475124378109453,0.499312872194228,0.477784932388925,0.502174363222199,0.515735167669819,0.516345154210466,0.516198704103672,0.514324693042292,0.524596733794209,0.498627989023912,0.52234993614304,0.520273571079629,0.508333333333333,0.509787234042553,0.459873760144274,0.457858769931663,0.493244096476828,0.494326241134752,0.520275642724622,0.466535433070866,0.536218250235183,0.50390625,0.511649982740766,0.505895233282803,0.506168608636052
"YACHT",0.505959793631026,0.523787947439964,0.507715636428508,0.50077519379845,0.533341300191205,0.491085899513776,0.514994829369183,0.493090909090909,0.513210039630119,0.52690090584683,0.500724487683709,0.486366518706405,0.530207321023648,0.490681868011401,0.521481129836221,0.484076433121019,0.492273730684327,0.493449781659389,0.514832753140608,0.468408048005648,0.501594425416322,0.456140350877193,0.496729940979423,0.464189189189189,0.512055679840915,0.519518515422553,0.507094386181369,0.498946481247366,0.503540640394089,0.512973593570608,0.497714736012608,0.497404844290657,0.495371594816186,0.502078137988362,0.520376175548589,0.470701248799232,0.47909604519774,0.498059665292263,0.513888888888889,0.518370073480294,0.480633802816901,0.528281750266809,0.501479289940828,0.526129943502825,0.499053286448472,0.507155213083818
