"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.486580842243072,0.53666517923546,0.491776846178652,0.527573274065842,0.534351145038168,0.456533624931657,0.436559139784946,0.562254562254562,0.494903160040775,0.530641733956651,0.46320987654321,0.502310231023102,0.541627273232857,0.473820297349709,0.468380709038646,0.559369724254361,0.476025168149273,0.534837183918501,0.537802477712169,0.470948012232416,0.485624523990861,0.527089273963589,0.474729561979074,0.541267501842299,0.485798159314503,0.487785501489573,0.473764153548743,0.542816702052371,0.444711538461538,0.5,0.491426530126221,0.524065067918833,0.517545982575024,0.471663619744059,0.484057430542607
"BARTLETT_U.",0.478153708267981,0.541877501699267,0.480931865326312,0.534487612612613,0.525307058982319,0.455129676382832,0.446985446985447,0.561492685345896,0.4912058428976,0.548301193755739,0.463449593884377,0.483718054410552,0.546492659053834,0.514619883040936,0.469558713537771,0.567459878251245,0.479061976549414,0.552969502407705,0.534187030075188,0.463316582914573,0.481621194841653,0.533318598740192,0.465126139495442,0.538655462184874,0.48441457237483,0.47357364927317,0.466437947494033,0.529411764705882,0.469879518072289,0.487386478304743,0.486349477798815,0.523952095808383,0.536458907887479,0.466417910447761,0.471034565819583
"BORDER",0.510621761658031,0.510397633342034,0.510594412150759,0.503647177645607,0.490696987595983,0.494878361075544,0.413087934560327,0.530909536050924,0.522346368715084,0.517607026984253,0.487206266318538,0.500614099729796,0.513843151603854,0.495547073791349,0.495494019334753,0.530803906836965,0.509520682862771,0.518041958041958,0.513844806829375,0.475799086757991,0.51273465246068,0.504603438713256,0.501332406441895,0.509090909090909,0.512536035642526,0.508969853893102,0.498362550568291,0.493480257116621,0.484581497797357,0.472609099350046,0.514719351040168,0.493038981702466,0.501911713590546,0.468518518518519,0.507068874272322
"CHALET",0.553735073590669,0.468010291595197,0.547242858637648,0.459289735816371,0.460240963855422,0.524661508704062,0.441613588110403,0.498377028714107,0.560015649452269,0.463595113438045,0.511477339611536,0.531303357996585,0.475119793586436,0.472868217054264,0.537812230835487,0.497915133676723,0.527557160048135,0.478814732761008,0.464700625558534,0.453598484848485,0.547717842323652,0.457905301688511,0.555893866898652,0.475974614687217,0.561030515257629,0.533882263865228,0.535792709705753,0.453260650111044,0.49537037037037,0.429054054054054,0.550148116800677,0.459089076985087,0.46261329305136,0.475538160469667,0.559004181913225
"CLUB_HOUSE",0.515492185357828,0.495511049723757,0.526029229152737,0.498581377353624,0.482622325201036,0.512360074626866,0.478170478170478,0.510737294201861,0.528152782351004,0.500416635103401,0.493184634448575,0.523477327609337,0.501188320507017,0.476629361421988,0.516087097822554,0.519086780409967,0.519670200235571,0.503374845517635,0.498122900612527,0.459349593495935,0.511523620815518,0.496070065124635,0.520846297448662,0.477194492254733,0.531432748538012,0.519273301737757,0.514230892228973,0.483732709916228,0.452574525745257,0.451219512195122,0.529453976123687,0.474163568773234,0.489119404667945,0.497363796133568,0.521984614298821
"COASTLINE",0.527816606094493,0.502905545159066,0.535194296616126,0.485244802146211,0.479312762973352,0.497479437516583,0.467741935483871,0.520648516365861,0.531030011115228,0.502422907488987,0.489596083231334,0.522216274089936,0.493511227763196,0.461925287356322,0.508420056764428,0.51182099634112,0.527390180878553,0.493018532622493,0.496190744920993,0.451073985680191,0.530574712643678,0.487652716402391,0.505043050430504,0.481740870435218,0.525879917184265,0.530070214714562,0.528724247226624,0.473860589812332,0.474285714285714,0.438534278959811,0.53130028350318,0.474508050089445,0.486901659580304,0.451965065502183,0.523433242506812
"CONSULATE",0.490480507706256,0.52547585404372,0.504388531304857,0.518938480096502,0.495462529274005,0.473096446700508,0.469586374695864,0.542628127277144,0.505961430743378,0.516517468113761,0.491545189504373,0.489024067706956,0.523936331174726,0.478090255068672,0.486689297838128,0.547292044571132,0.485381507012123,0.526289484206317,0.519712888796422,0.4638671875,0.48867278152282,0.52287899016871,0.497189841798501,0.524279835390946,0.495121341005754,0.495232567780449,0.485405405405405,0.521815008726004,0.468531468531469,0.446871896722939,0.50297619047619,0.514407271320828,0.522219663826848,0.447058823529412,0.50099729306169
"FAVELAS",0.540009144947417,0.471807994352775,0.552493713327745,0.451126626467788,0.465223463687151,0.530666666666667,0.426587301587302,0.486903304773562,0.557672324211985,0.471751203258053,0.539729252501471,0.544546649145861,0.472730430754979,0.494677520350657,0.544840745633348,0.490175438596491,0.541567695961995,0.47295719844358,0.472640610104862,0.449720670391061,0.547931583134447,0.457042103013464,0.55093159254726,0.477384684281236,0.552637712687437,0.546531892645521,0.542684268426843,0.451174289245983,0.442307692307692,0.447478991596639,0.559552561332147,0.446780049684693,0.460627840608815,0.459866220735786,0.551710761114128
"HEREFORD_BASE",0.482340253437584,0.523554804804805,0.494738931903911,0.52478769795731,0.513505705618951,0.487135506003431,0.410138248847926,0.538201976379851,0.514932486100079,0.526654768371227,0.465745856353591,0.485250338294993,0.52994227994228,0.472773862908392,0.491644823066841,0.54550408719346,0.486723565670934,0.521345055741865,0.522631684358101,0.487276154571159,0.497755038112144,0.509823182711198,0.494896827157755,0.504511894995898,0.496168282765092,0.484714514156712,0.489370629370629,0.51926394479586,0.474835886214442,0.499539170506912,0.499011075949367,0.509118255311149,0.515021459227468,0.469879518072289,0.493379310344828
"HOUSE",0.551685393258427,0.464395604395604,0.546360582306831,0.465780797282446,0.452894593118514,0.510545267489712,0.430131004366812,0.493890819414864,0.56117306897976,0.467353473479048,0.521907216494845,0.540993599512344,0.474547701988988,0.468070652173913,0.545666666666667,0.485343228200371,0.539188656951556,0.474485759493671,0.473486702561592,0.452631578947368,0.545631303925143,0.454776188278726,0.552993130520118,0.45162653147444,0.548631123919308,0.542775239630924,0.546512685277803,0.453092994674314,0.504297994269341,0.412581699346405,0.551035964243642,0.457927049476345,0.458434909800097,0.465250965250965,0.553283032986219
