"","BANK","BARTLETT_U.","BORDER","CHALET","CLUB_HOUSE","COASTLINE","CONSULATE","FAVELAS","HEREFORD_BASE","HOUSE","KAFE_DOSTOYEVSKY","KANAL","OREGON","PLANE","SKYSCRAPER","YACHT"
"Attacker",0.506575734468843,0.505966185713021,0.505756782922477,0.504929618854506,0.50524424551422,0.505533210800335,0.506383794917982,0.505198604051725,0.506051405228482,0.504634707615545,0.506099216043174,0.505769044310139,0.504774626497786,0.504731353963162,0.505597363272529,0.505913672410613
"Defender",0.51169911696024,0.511076154768359,0.511599955719324,0.512168027281182,0.510913360524039,0.511674353318628,0.511717906688522,0.511340295909486,0.511096379076301,0.510796271814954,0.511716306987549,0.511498240970855,0.510925312744486,0.509635064684302,0.511167375706394,0.512370016461236
