"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.470588235294118,0.540767973856209,0.489036913683042,0.530970675866395,0.526799156880458,0.46421431427429,0.460905349794239,0.553127057274523,0.49147386118005,0.540183995834057,0.485714285714286,0.485833720390153,0.53776967844336,0.462060456508328,0.477076870044812,0.569580022701476,0.481441750697275,0.545224664462167,0.540712468193384,0.454545454545455,0.480561350274986,0.530275425999357,0.468873943783411,0.541698256254738,0.48399277622722,0.476069730586371,0.479562929987859,0.542162258121782,0.464454976303318,0.515207373271889,0.487244425227006,0.534233727255674,0.528595296234417,0.442413162705667,0.483987978028811
"BARTLETT_U.",0.469314938154139,0.549005847953216,0.474312714776632,0.535786368576308,0.546730367273813,0.456884561891516,0.467706013363029,0.568604947717419,0.483138227769595,0.552102376599634,0.442896935933148,0.474609804352605,0.552040755879391,0.486709982279976,0.456847305851474,0.577639059190726,0.472778827977316,0.560623142359332,0.546830652790918,0.480293308890926,0.477259202584375,0.544231380442843,0.458885941644562,0.558081852004961,0.474469528146497,0.465512673319792,0.464852607709751,0.540520984081042,0.444444444444444,0.516230366492147,0.477439282902308,0.531712875047474,0.539264586474887,0.484346224677716,0.456607236497116
"BORDER",0.497083775185578,0.522153873584737,0.502664855261783,0.523526775711405,0.504843918191604,0.454007285974499,0.468950749464668,0.547667862634546,0.504381543233812,0.522655345426476,0.472567287784679,0.494410569105691,0.51698643529268,0.463739188290086,0.503013003488741,0.539951573849879,0.506704152249135,0.518312985571587,0.520738282870178,0.456175298804781,0.502050939616522,0.506472835314092,0.498653742595584,0.5274906986358,0.508063835176898,0.492883895131086,0.486258702821546,0.5175,0.463104325699746,0.489296636085627,0.506733578960742,0.507751937984496,0.518424815751843,0.450367647058824,0.500746825989544
"CHALET",0.535639097744361,0.467606149341142,0.552543158382574,0.464452280741668,0.469039492930278,0.521868787276342,0.431325301204819,0.500742540839746,0.556856881800814,0.471124833345028,0.511326860841424,0.549735138316657,0.476331360946746,0.467665078284547,0.548510712419439,0.495483061480552,0.541988416988417,0.468353239913477,0.472969009678365,0.423,0.550886705071727,0.462347160324534,0.555259768140833,0.45531197301855,0.555480946785295,0.539967057455673,0.534735950296526,0.459288537549407,0.497354497354497,0.419201520912548,0.547917108706415,0.448983824139361,0.457079588380878,0.431670281995662,0.552941973969631
"CLUB_HOUSE",0.527909176915799,0.500625670361101,0.525577379667602,0.498032602585722,0.495642868062987,0.503586445708632,0.468253968253968,0.523748723186925,0.528728552573691,0.496122227392586,0.504181600955794,0.522636103151862,0.499268364062043,0.476830087306917,0.517009093971034,0.514135601701276,0.517494494739418,0.50186019189348,0.494679822015864,0.476003917727718,0.517213850913082,0.482456140350877,0.515208455666471,0.4928,0.522583025830258,0.519742807682796,0.509591584158416,0.480092325447201,0.41834451901566,0.471119133574007,0.530950946931674,0.483503534956795,0.487828048925306,0.457528957528958,0.522825278810409
"COASTLINE",0.508306616146896,0.505067737079779,0.528301886792453,0.500781114389863,0.492567818654775,0.499425617461229,0.475826972010178,0.529336734693878,0.526415811478525,0.503319768687085,0.486570893191755,0.506217187068251,0.507687865444308,0.47376311844078,0.503153067074336,0.526378737541528,0.5242523247047,0.496523466600447,0.508528361761206,0.491646778042959,0.513254786450663,0.493331655762456,0.505215123859192,0.503053076561766,0.522088808337109,0.518246665977463,0.5139470013947,0.477762803234501,0.454810495626822,0.460880195599022,0.516910726232067,0.490706319702602,0.485838150289017,0.498829039812646,0.509916201117318
"CONSULATE",0.474418604651163,0.540460969044415,0.489273927392739,0.515080922020598,0.513123956910939,0.472874085288923,0.453333333333333,0.541803072273986,0.514415418923224,0.516858983965233,0.475352112676056,0.490276356192426,0.527541632700594,0.478233438485804,0.489276626681207,0.550269992285935,0.496210326859308,0.527916827108202,0.525346515459921,0.457142857142857,0.490409852614577,0.514579566003617,0.500716127184188,0.517047733654232,0.498121953168705,0.48724743292481,0.477565849227975,0.518700966976829,0.462085308056872,0.497297297297297,0.498720724266877,0.517167798254122,0.521526752243553,0.472505091649695,0.500522102332057
"FAVELAS",0.557028514257129,0.464908148845973,0.550138953219083,0.458259639193491,0.460801256873527,0.521130625686059,0.424036281179138,0.488302638128422,0.571315232722144,0.469208633093525,0.534441805225653,0.549568401778708,0.464586457492214,0.45919689119171,0.557505160719552,0.487134502923977,0.545123726346434,0.463497950419676,0.469076532053092,0.458252427184466,0.553515364855865,0.458897192486366,0.546323814446311,0.461505742237346,0.556988578975993,0.553037171350861,0.551384756237125,0.446713574738287,0.469483568075117,0.45875,0.563442488485078,0.448662992447438,0.456748943740271,0.443636363636364,0.548230504227999
"HEREFORD_BASE",0.487179487179487,0.511206812175785,0.498135556042992,0.531181217901687,0.502740560292326,0.478071182548794,0.472103004291845,0.540256566890654,0.502144153059542,0.529224229543039,0.482181425485961,0.487905442550852,0.529344212753098,0.469656992084433,0.484492875104778,0.551632540121749,0.492367337048704,0.533193123628383,0.53224377276755,0.475791433891993,0.496999287966636,0.512059369202226,0.485968865219172,0.521637426900585,0.494013372725859,0.4922376127173,0.477089317466831,0.520256232686981,0.481481481481481,0.457114026236125,0.501734179700281,0.512594962015194,0.516175760502173,0.43313373253493,0.494881018262313
"HOUSE",0.525557752047444,0.467507815989281,0.542620555284949,0.471240471240471,0.473326729871232,0.538138925294889,0.420924574209246,0.483630952380952,0.56111823133611,0.466890247912146,0.517575757575758,0.540602582496413,0.473113686121643,0.475321162947938,0.542881944444444,0.49605247175999,0.54399833576035,0.471580733339617,0.47225826146684,0.43482905982906,0.54432782492184,0.456629688325409,0.556448497024959,0.473564092810955,0.555277847204866,0.545998767497139,0.540649383337528,0.442519984773506,0.4575,0.410924369747899,0.553241048848662,0.454749859471613,0.449958248836932,0.45859872611465,0.552401215805471
