"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.538619465098213,0.489031078610603,0.487515349979533,0.448305821025196,0.559099437148218,0.527198869657365,0.493424106452112,0.462417582417582,0.478864353312303,0.496807151979566,0.464534433840598,0.489795918367347,0.4844327176781,0.518510158013544,0.489070381936104,0.473794549266247,0.465011286681716,0.484662576687117,0.485983668658978,0.504758279406167,0.523078659293533,0.478036175710594,0.524520255863539,0.50569323509712,0.483431800667865,0.549092759030015,0.537333137743876,0.549311499813919,0.534507152963371,0.540451127819549,0.488111758719586,0.506660542030317,0.475964225824483,0.486193293885602,0.48461078738981,0.507261410788382,0.535264483627204,0.461341463414634,0.539426523297491,0.541902604756512,0.476109215017065,0.516666666666667,0.531013615733737,0.48735595390525,0.521545584045584,0.530192797380866
"BARTLETT_U.",0.547958321599549,0.482529118136439,0.470381807973049,0.449612403100775,0.574221578566256,0.52291788570314,0.467974535533325,0.445026178010471,0.484117647058824,0.477266348582655,0.460324142285835,0.472615384615385,0.485214599526867,0.532748143146523,0.489609499885819,0.478584729981378,0.462703962703963,0.511363636363636,0.47824344899431,0.515235457063712,0.542432097374056,0.462908011869436,0.510965263326397,0.498563218390805,0.465091973244147,0.56158557332426,0.541473317865429,0.559505409582689,0.554010349288486,0.544114505447554,0.468267051308469,0.529166666666667,0.472507234938174,0.476694085389738,0.473478421246772,0.472551130247578,0.46875,0.450240880935995,0.545116279069767,0.543514879281303,0.485362095531587,0.568406205923836,0.53768115942029,0.471087124132614,0.535631987710165,0.550576668557383
"BORDER",0.512069670933427,0.501251877816725,0.504309693028883,0.48780487804878,0.53849265201564,0.499709808473593,0.49779422228547,0.490336830480398,0.489937543372658,0.517376490630324,0.500553955240417,0.494837758112094,0.517017828200972,0.496467991169978,0.514386673397274,0.501285347043702,0.463171036204744,0.463302752293578,0.515880858272163,0.493662441627752,0.514012738853503,0.488549618320611,0.511984960050133,0.465416936005171,0.51970802919708,0.530471036991041,0.505313634007258,0.51310861423221,0.513783403656821,0.512043978010995,0.498053008416028,0.488725264611137,0.509924109748978,0.513896171997902,0.511729196912967,0.469957081545064,0.484356894553882,0.472874493927125,0.526094276094276,0.510485320551228,0.500900900900901,0.535101404056162,0.475069252077562,0.513066060704431,0.492641363284276,0.52242837012682
"CHALET",0.477796052631579,0.537081339712919,0.555569948186528,0.500797448165869,0.489955834164411,0.459228321400159,0.539599033129532,0.561100196463654,0.550888529886914,0.557466918714556,0.537480877103519,0.533587786259542,0.55982905982906,0.454304954304954,0.55679598102149,0.524173027989822,0.512087912087912,0.459183673469388,0.551714544063435,0.463535700649103,0.467763509898341,0.528662420382166,0.474542093765754,0.451359084406295,0.55592841163311,0.488123620309051,0.46211518800409,0.471259842519685,0.467087973970717,0.477176831607211,0.540752959441102,0.447488584474886,0.538922155688623,0.542138364779874,0.550765645805593,0.408614668218859,0.420190995907231,0.518626398896213,0.455512572533849,0.481760627072656,0.517034068136273,0.462462462462462,0.487538940809969,0.558842289905916,0.462335994127902,0.45181913286063
"CLUB_HOUSE",0.501136930841329,0.531285551763367,0.521345982804625,0.518041237113402,0.513513513513513,0.490876278323641,0.524011948529412,0.500293427230047,0.527186761229314,0.516335227272727,0.520996441281139,0.516106442577031,0.530815482901165,0.473936899862826,0.529523293607801,0.491379310344828,0.519621109607578,0.458563535911602,0.520118759278069,0.461119186046512,0.503716995642143,0.46583850931677,0.500425531914894,0.454676258992806,0.502132499289167,0.510909393737508,0.497730711043873,0.493338408831367,0.499312147475581,0.49899416616375,0.51202415615227,0.474346563407551,0.507629704984741,0.51332955190017,0.526378610646932,0.464285714285714,0.495786516853933,0.50853889943074,0.492438563327032,0.501803870121351,0.519366197183099,0.483739837398374,0.478190630048465,0.520650994575045,0.489010052819901,0.496227323807995
"COASTLINE",0.502656806354423,0.539203354297694,0.517842224609142,0.524398178269356,0.519985681899535,0.471564422897632,0.518359507400294,0.519768991559307,0.528945764777575,0.520254389603207,0.521493703864525,0.526570048309179,0.524756526720681,0.484472049689441,0.533163265306122,0.479338842975207,0.495316159250585,0.470046082949309,0.5209188506473,0.484078590785908,0.49931941923775,0.465789473684211,0.493740458015267,0.448385053831539,0.518880208333333,0.513061820541944,0.49063670411985,0.506062767475036,0.503336657206413,0.498856311083385,0.526330454165506,0.482204861111111,0.509261608728749,0.531276063386155,0.521282032561875,0.463049579045837,0.465495608531995,0.488513335093742,0.50689972401104,0.498374864572048,0.510600706713781,0.49478390461997,0.502770083102493,0.524445631846113,0.491996158155915,0.492580010727695
"CONSULATE",0.522571346209282,0.508923742563548,0.508147938217373,0.491416309012876,0.538237011091652,0.517893452623017,0.494085756530311,0.488647114474929,0.479970326409496,0.501753770606805,0.519615692554043,0.458033573141487,0.514552641034854,0.508466376390905,0.494182971972501,0.5,0.463917525773196,0.425149700598802,0.504104016851892,0.501292944218692,0.52688439091022,0.447019867549669,0.506447624094683,0.472659176029963,0.493880881153114,0.533269797262173,0.511798310978639,0.524660194174757,0.520176544766709,0.524308075049238,0.49487970388649,0.514312977099237,0.489781283614199,0.478791400348634,0.501217532467532,0.448356807511737,0.471861471861472,0.472966468795123,0.545871559633027,0.54368,0.470347648261759,0.536666666666667,0.489326765188834,0.499518690839082,0.509556945300802,0.504181600955794
"FAVELAS",0.464038651586692,0.550444328280188,0.557817719102911,0.525694444444444,0.481629392971246,0.45473564092811,0.543734015345269,0.549899531145345,0.538239538239538,0.560261840585291,0.564136413641364,0.540677966101695,0.570813397129187,0.451917033312382,0.561340081947457,0.515151515151515,0.48527679623086,0.502439024390244,0.556712159765595,0.450294035284234,0.467089611419508,0.542299349240781,0.470051182736201,0.470979443772672,0.549070100143062,0.473612413675505,0.45803682367559,0.485794317727091,0.4666486814595,0.464111276279465,0.54523072035581,0.446780551905388,0.548517132162396,0.54851157662624,0.561028166846237,0.436485195797517,0.459489456159822,0.537329286798179,0.454347826086957,0.452337583485124,0.529508196721311,0.476130653266332,0.427876823338736,0.566733996270976,0.458173244848061,0.450518582541054
"HEREFORD_BASE",0.525627430187345,0.474665113570181,0.489947552447552,0.471498371335505,0.544784509681449,0.526336024605921,0.491703304495816,0.473841961852861,0.493911719939117,0.494346617238184,0.490111561866126,0.495347172512527,0.50812107788852,0.50939893246693,0.501477303250067,0.491935483870968,0.459425717852684,0.535398230088496,0.489470517448857,0.482084690553746,0.526913790654737,0.471153846153846,0.504370902279113,0.477572559366755,0.498080087767416,0.532586467502445,0.526617422312787,0.541140451588213,0.527842565597668,0.53837973704563,0.484886518146637,0.51415313225058,0.494523730501162,0.486471251409245,0.499472787736232,0.484558040468584,0.488425925925926,0.479230554781154,0.509151414309484,0.53013698630137,0.460764587525151,0.525402726146221,0.50070323488045,0.492961069602831,0.52006751687922,0.529977051061388
"HOUSE",0.474077281091027,0.546027742749054,0.552123794010776,0.508486562942008,0.493969144460028,0.459589614740369,0.544992646075679,0.554555680539933,0.527681660899654,0.543317370483239,0.528722157092614,0.547720364741641,0.553581343697946,0.455099277978339,0.549019607843137,0.464379947229551,0.532467532467532,0.526595744680851,0.545631879615438,0.447739065974796,0.47037150752226,0.529239766081871,0.474361088211047,0.424507658643326,0.544413336726903,0.477353851035139,0.469807868252516,0.489628040057225,0.469671922685656,0.478537859007833,0.546831774469767,0.436155606407323,0.53955857385399,0.540131578947368,0.545522574208032,0.455301455301455,0.458625525946704,0.524153426416306,0.428152492668622,0.473238180196253,0.506006006006006,0.470588235294118,0.492138364779874,0.549361408353469,0.462941439427805,0.482645977950184
"KAFE_DOSTOYEVSKY",0.509795265161967,0.506000960153625,0.507497761862131,0.52389594676346,0.52977309765576,0.475555555555556,0.512414615634826,0.499305876908838,0.513529765484065,0.52659083922533,0.516688918558077,0.512434554973822,0.520987441940478,0.48484167976645,0.51506456241033,0.48780487804878,0.478060046189376,0.485714285714286,0.511993382961125,0.485948061188189,0.515001153934918,0.48578811369509,0.495959595959596,0.478231748158071,0.527210152721015,0.517980107115532,0.502166377816291,0.515108425168859,0.503913352834216,0.515058212258251,0.51157060209985,0.477632173520108,0.504553215708594,0.524777006937562,0.517977611387056,0.452599388379205,0.441069258809235,0.491262407381518,0.477954144620811,0.506408430646539,0.529411764705882,0.536697247706422,0.513719512195122,0.516706443914081,0.493058625873198,0.503230769230769
"KANAL",0.511291009799744,0.508676789587852,0.503171953255426,0.525458248472505,0.537544696066746,0.49557869915504,0.52222483537159,0.506083429895713,0.496572734196497,0.520557740436182,0.503676470588235,0.484404837683004,0.520620966987749,0.489392133492253,0.509398993910511,0.449877750611247,0.474460839954597,0.455882352941176,0.50128164049984,0.486354093771868,0.51225557697604,0.474576271186441,0.493391272858953,0.471685542971352,0.493775933609959,0.526861528412802,0.520914872798434,0.522474068382635,0.506102134042408,0.515662152382922,0.508620051794303,0.482364156339371,0.525015441630636,0.497099767981439,0.510344827586207,0.472070098576123,0.482712765957447,0.492263518902536,0.498604651162791,0.486551585708551,0.504051863857374,0.521923620933522,0.5,0.517007983339118,0.494415964848041,0.505910165484634
"OREGON",0.510963305337918,0.51217088922007,0.499170488923587,0.501178318931658,0.529719137818419,0.496290511518938,0.508928571428571,0.483770718232044,0.503856041131105,0.520056408649326,0.515022421524664,0.487124463519313,0.522341531001039,0.499782419495213,0.506298449612403,0.5,0.45873786407767,0.481818181818182,0.510405590156464,0.479238214174212,0.509676643827383,0.46045197740113,0.513877324451846,0.462975778546713,0.495242742132227,0.527379053694843,0.505332764505119,0.519540229885057,0.509378477189636,0.51285930408472,0.497168868657711,0.499333629498001,0.500261233019854,0.517029328287606,0.520247341829425,0.4675701839303,0.460448642266824,0.487629113619986,0.508627156789197,0.512686371959194,0.446215139442231,0.537848605577689,0.48780487804878,0.508969269225114,0.496869565217391,0.508728564807663
