"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.538912875013838,0.483599290780142,0.480271701128758,0.441950464396285,0.570231140462281,0.529693650521992,0.482934428551197,0.476190476190476,0.496435515230071,0.495565271705184,0.486262312078797,0.48536299765808,0.498168810152457,0.514879169163172,0.487838145032962,0.477611940298507,0.465832531280077,0.5,0.481301718650541,0.489302694136292,0.545719735218221,0.409785932721713,0.52339398440401,0.442857142857143,0.473917579551382,0.546076170787946,0.520979932238728,0.532786885245902,0.532586068855084,0.542362648420205,0.486506469500924,0.512353706111834,0.492826780021254,0.499304589707928,0.488210708934627,0.495126705653021,0.520103761348898,0.465099281276648,0.508566978193146,0.533316633266533,0.457191780821918,0.508100147275405,0.543956043956044,0.494191674733785,0.52221918058217,0.522472848788638
"BARTLETT_U.",0.551803885291397,0.48346588530766,0.465818134103136,0.455094339622642,0.578698081127034,0.538935574229692,0.456567796610169,0.48565965583174,0.485837438423645,0.482538058078547,0.459548344661258,0.467136150234742,0.481111111111111,0.534055405123933,0.478134815172747,0.475471698113208,0.435227272727273,0.483695652173913,0.474479249483225,0.524109792284866,0.552510363887609,0.501291989664083,0.529783393501805,0.515027322404372,0.468293745914143,0.563459316718931,0.546546546546547,0.563938618925831,0.550021920210434,0.550342996238106,0.466224366706876,0.523279769262464,0.466001079330815,0.466087675765095,0.479611341191462,0.49080348499516,0.472972972972973,0.449878411240205,0.542012927054478,0.560370741482966,0.475873544093178,0.589041095890411,0.52827140549273,0.466377221324717,0.533036182485579,0.558179624202724
"BORDER",0.514347961406785,0.52891156462585,0.510880666195302,0.485714285714286,0.530706169998562,0.490238188207731,0.498955613577024,0.507787325456498,0.511143062544932,0.513919645681746,0.510138476755687,0.48716119828816,0.524827152734129,0.487249736564805,0.516972592406336,0.485094850948509,0.447831184056272,0.541463414634146,0.505669445070211,0.478641840087623,0.519457627118644,0.507462686567164,0.507749866381614,0.461090909090909,0.520062532569046,0.525650097293472,0.507052802396705,0.50556586270872,0.514181930597419,0.513478818998716,0.500308832612724,0.513921661160925,0.4973007303906,0.492239467849224,0.514096762965541,0.466734902763562,0.480431848852901,0.482469836763662,0.494224422442244,0.513101065361359,0.466,0.533240997229917,0.486798679867987,0.517753331544585,0.498783910196445,0.512348728081008
"CHALET",0.472567225370795,0.562753036437247,0.563161701847833,0.523881728582259,0.487204450625869,0.437845303867403,0.551905387647832,0.564112437427801,0.5229793977813,0.554780876494024,0.529899042195185,0.547536433032616,0.567439785905442,0.455603448275862,0.556715575620767,0.54147465437788,0.532901833872708,0.408256880733945,0.556855726872247,0.45921568627451,0.461093161012386,0.517241379310345,0.459731543624161,0.446697187704382,0.542518518518519,0.486440677966102,0.452999577524292,0.478110099696576,0.459923664122137,0.469939381894067,0.555071622144793,0.466666666666667,0.535945595854922,0.54478527607362,0.549935862195345,0.412941176470588,0.419858156028369,0.536620951269332,0.461082910321489,0.462379935965848,0.502347417840376,0.475035663338088,0.474878444084279,0.55669669164071,0.462489383787864,0.453937507206272
"CLUB_HOUSE",0.506621429353179,0.51535455053043,0.51562944018187,0.503160556257901,0.531439342937929,0.485929740665808,0.521151647437896,0.494139098723626,0.519561815336463,0.524435809296069,0.524558432131624,0.525391849529781,0.526330532212885,0.48843137254902,0.516913054372338,0.4675,0.491486946651532,0.439613526570048,0.516632016632017,0.487152034261242,0.512480699948533,0.539936102236422,0.491414409630023,0.458100558659218,0.512678519382104,0.511941601206062,0.502986348122867,0.50437898089172,0.497549019607843,0.501260461833216,0.524258077585334,0.487262434290336,0.525880551301685,0.497219132369299,0.519969278033794,0.446138211382114,0.421947449768161,0.509384123453357,0.520609318996416,0.49835886214442,0.466135458167331,0.463452566096423,0.493150684931507,0.516091954022988,0.482362095798029,0.492822279643985
"COASTLINE",0.502670355832958,0.500989119683482,0.519000657462196,0.491241431835491,0.521556967157724,0.488554341101258,0.510285095633345,0.522298850574713,0.532938564026647,0.528889515219842,0.504930467762326,0.502313284864508,0.532164833115793,0.487014380768405,0.513913709471534,0.497727272727273,0.504994450610433,0.415841584158416,0.521642914047977,0.455610124669437,0.498669505055881,0.481848184818482,0.498459167950693,0.473566641846612,0.523425692695214,0.515883914675455,0.490645336225597,0.507299270072993,0.505179430262671,0.499395697365241,0.523073732241004,0.483033932135729,0.503799605966789,0.518008474576271,0.523985572587917,0.457364341085271,0.467463479415671,0.496563060370592,0.5,0.517903179604698,0.469473684210526,0.543613707165109,0.522045855379189,0.519454640797063,0.496514694800301,0.491202872531418
"CONSULATE",0.527419260643579,0.485806106052491,0.511510586897826,0.484536082474227,0.547752808988764,0.521877486077963,0.504082806210466,0.497817597059499,0.449852507374631,0.489734680985471,0.466777870447595,0.488636363636364,0.501963233981795,0.508094921268574,0.48930551888038,0.444174757281553,0.474842767295597,0.445161290322581,0.499572405929304,0.502834868887314,0.53005600497822,0.406130268199234,0.516367887763055,0.485569985569986,0.487421383647799,0.529875518672199,0.516883413187315,0.53252579632122,0.516357206012378,0.529324738455035,0.497342883548983,0.532192705988294,0.494638069705094,0.490831295843521,0.501506290979975,0.480381760339343,0.485754985754986,0.476567349472377,0.539653600729262,0.531521739130435,0.479611650485437,0.519071310116086,0.498194945848375,0.494093823827202,0.516365240405823,0.516801075268817
"FAVELAS",0.465005662514156,0.537493445201888,0.551938491738917,0.565158676569885,0.48573790822654,0.450863930885529,0.553498704183636,0.549190938511327,0.539170506912442,0.569222851260937,0.550662772410694,0.57630979498861,0.565931348303492,0.44780106863954,0.564385577630611,0.501210653753027,0.540794979079498,0.42741935483871,0.551116243264049,0.452579034941764,0.469239071775499,0.53735632183908,0.466998754669988,0.466019417475728,0.552165068294101,0.474513054289266,0.464110663326435,0.474029012634534,0.472886421861657,0.459241234376728,0.547529706066291,0.451315789473684,0.546523784631469,0.544852498494883,0.557049782826595,0.442885771543086,0.442887931034483,0.541551246537396,0.483918128654971,0.465512426696453,0.526315789473684,0.461883408071749,0.492706645056726,0.56139790951887,0.4502845962291,0.457594072918698
"HEREFORD_BASE",0.513572653616417,0.509283819628647,0.503997194950912,0.487160674981658,0.53393085787452,0.52122641509434,0.495330739299611,0.491829204006326,0.493555724033359,0.498553984575835,0.489836888331242,0.493849938499385,0.52113297449925,0.492133417243549,0.499874150515983,0.472602739726027,0.482252141982864,0.516129032258065,0.504616737505496,0.497800338409475,0.510915750915751,0.496598639455782,0.502248634757469,0.465132024373731,0.508379888268156,0.518378812199037,0.517459951596174,0.536048879837067,0.512957204205538,0.528852681602172,0.501120093503458,0.509628302731751,0.501432664756447,0.491130820399113,0.511528242050227,0.475843208751139,0.459709379128137,0.487059471365639,0.477255204317656,0.518679409209383,0.490079365079365,0.512883435582822,0.47900466562986,0.51111290062812,0.497761265123369,0.523038767784884
"HOUSE",0.471043895241608,0.528896672504378,0.553073645769933,0.563745019920319,0.499058886797526,0.454086403590799,0.535608834297862,0.547234814143246,0.497886728655959,0.542134331017281,0.539782016348774,0.530033370411568,0.561006864988558,0.449799196787149,0.547093649085038,0.48,0.497211895910781,0.401015228426396,0.552503382949932,0.454511696992202,0.465137755887333,0.50920245398773,0.473941084190343,0.467753891771683,0.551973175135414,0.487279993851357,0.470047249409382,0.478828650573803,0.471275497030726,0.477133523887301,0.543823811043728,0.45206055508831,0.533453345334533,0.554591467823572,0.551708911065972,0.441295546558704,0.480959097320169,0.527278315660058,0.432478632478632,0.459549316586627,0.503926701570681,0.430075187969925,0.455497382198953,0.550754635618801,0.451704798361969,0.475972994440032
"KAFE_DOSTOYEVSKY",0.50312413602433,0.52799271734183,0.51220335170397,0.49625,0.534117045744953,0.487560341626439,0.522313072603684,0.502253174928308,0.46671388101983,0.517050067658999,0.522921348314607,0.499695307739183,0.525901190170391,0.484694954612624,0.529015169756802,0.5,0.521881838074398,0.475555555555556,0.521013795316009,0.476865671641791,0.508740635033892,0.541310541310541,0.495888909190572,0.457891012031139,0.503994521798676,0.519757324179772,0.489114848129318,0.501888375996643,0.506131730691139,0.51395601144097,0.515056588520614,0.48788780280493,0.498674443266172,0.514963880288958,0.520135037376417,0.503664921465969,0.456521739130435,0.500570287995438,0.486672398968186,0.51123595505618,0.54434250764526,0.517341040462428,0.497520661157025,0.514309009376274,0.488633275971379,0.502925687536571
"KANAL",0.517895285230529,0.522620904836194,0.501866951154462,0.503075871496924,0.53551637279597,0.504045605001839,0.511746237956046,0.490319204604919,0.513574660633484,0.508497118368553,0.497685815409747,0.489673913043478,0.521444082519001,0.504103671706263,0.516311012999755,0.48993288590604,0.464253393665158,0.436,0.500495691298711,0.504636233951498,0.524516480523018,0.489028213166144,0.499720305798993,0.491582491582492,0.506099143524526,0.523903475489452,0.503452960489075,0.529411764705882,0.521878483835006,0.509595753368722,0.502717204375043,0.501423342822286,0.497984496124031,0.50058207217695,0.512608621570966,0.500986193293886,0.477157360406091,0.480616605616606,0.526762956669499,0.511463250168577,0.498511904761905,0.537549407114625,0.504885993485342,0.503900017727353,0.496661854926019,0.515903307888041
"OREGON",0.513796598716072,0.51454898157129,0.504701908153017,0.476128188358404,0.527846293651824,0.497581845238095,0.508155732825336,0.5,0.494086727989487,0.513959053443233,0.491561682909437,0.503861003861004,0.517001611125244,0.492963252541048,0.504379562043796,0.527083333333333,0.530612244897959,0.52156862745098,0.502414001207001,0.489918748119169,0.51283641324569,0.5,0.513039499771237,0.467569493941554,0.50933400605449,0.528161973004499,0.507410296411856,0.51413881748072,0.518638439186384,0.50770225142734,0.50210363153233,0.491329479768786,0.49936948297604,0.512605042016807,0.519952019192323,0.447907390917186,0.440874035989717,0.491331567541536,0.493543758967001,0.512263489838823,0.461538461538462,0.52734375,0.497214484679666,0.512400420862769,0.497307318795798,0.509210723378763
"PLANE",0.521244401404188,0.496381182147165,0.490524781341108,0.476644423260248,0.541585805378431,0.505033833966001,0.507964291965692,0.468238114262885,0.505237711522965,0.503892535490765,0.50363196125908,0.478260869565217,0.512326311071268,0.491280817799158,0.504420176807072,0.453658536585366,0.474576271186441,0.490304709141274,0.501731049562682,0.500259336099585,0.524337557603687,0.410828025477707,0.505986316989738,0.462820512820513,0.493080054274084,0.535120550091392,0.512366186784791,0.532237126784942,0.522953229013573,0.5106673282064,0.509607395097632,0.502198339032731,0.492776381909548,0.480600103466115,0.504534356470178,0.487966804979253,0.485600794438928,0.496652297532789,0.513928368391131,0.512129934210526,0.431338028169014,0.552135054617676,0.545146726862302,0.495917997097242,0.497590593677718,0.516115306882247
"SKYSCRAPER",0.507411964610066,0.510402833111996,0.513157894736842,0.483537766300839,0.53834621150963,0.474616508400292,0.510353482535035,0.506080114449213,0.52752880921895,0.520338983050847,0.512606933813597,0.503881439661256,0.527287993282956,0.483909415971395,0.520028442758948,0.462365591397849,0.488188976377953,0.528846153846154,0.512799401197605,0.484033116499113,0.506783822199251,0.475274725274725,0.496747967479675,0.446710526315789,0.52235401459854,0.508866952039836,0.50666978703487,0.502713987473904,0.511418569761627,0.507418091901916,0.511677534084173,0.501266891891892,0.511878520695567,0.500952380952381,0.518639738165562,0.488657844990548,0.450704225352113,0.509208440053665,0.492516037063435,0.511004784688995,0.480730223123732,0.498995983935743,0.487581699346405,0.518765187651877,0.483381380362896,0.494469408918078
"YACHT",0.506730196545563,0.532770605759682,0.511782974059189,0.496042216358839,0.527075812274368,0.478702193220953,0.521613416220905,0.50671256454389,0.513931888544892,0.51714476317545,0.511031869846222,0.510124101894187,0.532255416940249,0.492617717478053,0.523647829250546,0.502222222222222,0.482476635514019,0.494208494208494,0.515520481022172,0.480054551653597,0.499816513761468,0.526760563380282,0.481262660364619,0.469895287958115,0.511883912934701,0.515019339972019,0.505633450175263,0.511368511368511,0.507542579075426,0.512536106296938,0.499376817615289,0.495833333333333,0.541621029572837,0.494798733604704,0.525216673545192,0.462910798122066,0.49093107617896,0.50105857445307,0.503649635036496,0.503788654515667,0.51195219123506,0.496385542168675,0.509510869565217,0.522072936660269,0.490613617259737,0.497565572483116
