"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.537382649021604,0.48614166300044,0.480278659973363,0.474852071005917,0.556229400131839,0.527243330638642,0.477666362807657,0.475910261125414,0.483540205072855,0.489882538742474,0.485503560528993,0.461810824481538,0.500247320692498,0.512273641851107,0.489713880349965,0.456400742115028,0.464628820960699,0.506666666666667,0.484447594298764,0.503352891869237,0.537238302253747,0.455445544554455,0.504110612855007,0.486740804106074,0.485153627678802,0.54835255354201,0.525886990801577,0.542921686746988,0.538270171656025,0.534093330492222,0.478302929795467,0.523402523402523,0.490866992539233,0.488161859664227,0.491419776837245,0.490710382513661,0.507668711656442,0.461772768809016,0.541630901287554,0.526137841352406,0.478323699421965,0.503486750348675,0.531886024423338,0.500078296273097,0.524383561643836,0.532833474422542
"BARTLETT_U.",0.551566951566952,0.484295105916728,0.471122994652406,0.458436724565757,0.57644874685055,0.525557231439584,0.470799738505121,0.450128976784179,0.462128966223132,0.480011933174224,0.476948868398994,0.453817405232248,0.486294743631087,0.534709572960939,0.488524590163934,0.478976234003656,0.456932773109244,0.457337883959044,0.482509505703422,0.516177577125658,0.54851625058879,0.431547619047619,0.5176450335686,0.465187452180566,0.475707190671561,0.552939211756847,0.540983606557377,0.545492839090143,0.542248603351955,0.550372712898125,0.464932298798113,0.54151022110972,0.471358849216543,0.474843922144693,0.480420987463241,0.506304558680892,0.51413881748072,0.453674121405751,0.565898617511521,0.55419021872696,0.438053097345133,0.560117302052786,0.475035663338088,0.478725398313027,0.539468057812366,0.551788375558867
"BORDER",0.51498138768536,0.510890151515151,0.50634207831088,0.510006455777921,0.539350497366881,0.492746202423622,0.49994049744139,0.492271417343463,0.48015873015873,0.514305571643693,0.484311967727476,0.486026731470231,0.525356173677069,0.507171066306381,0.505601558694593,0.464220183486239,0.469408224674022,0.498269896193772,0.504309438721883,0.4762560220234,0.531592138240338,0.454545454545455,0.512131715771231,0.500797448165869,0.505222929936306,0.52687891440501,0.508607384542325,0.516848816029144,0.520644283121597,0.522181346028998,0.482558139534884,0.5,0.510948905109489,0.511348464619493,0.515784321722816,0.478033472803347,0.493351063829787,0.479497907949791,0.5103668261563,0.510971786833856,0.501730103806228,0.50367107195301,0.496147919876733,0.504034249958834,0.508629258154875,0.517094017094017
"CHALET",0.474293212453775,0.522039298990972,0.557985375521083,0.553080920564217,0.495772946859903,0.439824945295405,0.544460820437239,0.567653673163418,0.545272969374168,0.563235852639575,0.538097740409879,0.548161120840631,0.56210508093136,0.452589991220369,0.532015590200445,0.484848484848485,0.536787564766839,0.503623188405797,0.554374431778446,0.461902712010331,0.471207865168539,0.525083612040134,0.464151651651652,0.470246734397678,0.540983606557377,0.483567241073015,0.467387846007,0.441137855579869,0.461827883431386,0.47546267415263,0.545832097300504,0.469569080408707,0.553276178812002,0.531522793404462,0.556281451399311,0.409090909090909,0.462809917355372,0.527782905667344,0.471785383903793,0.46738184981154,0.481034482758621,0.456418383518225,0.439821693907875,0.561751681154666,0.456011009535044,0.457586855389488
"CLUB_HOUSE",0.50075493612079,0.517993456924755,0.519346850332766,0.517241379310345,0.522523866348449,0.470852824757107,0.526500309342132,0.501965188096575,0.52384062704115,0.534612176814012,0.522863299018434,0.512013729977117,0.538376485764305,0.487599831862127,0.535723842654536,0.460850111856823,0.488421052631579,0.450909090909091,0.525901589242054,0.484630738522954,0.499734254584108,0.542955326460481,0.485809682804674,0.461067366579178,0.527827116637063,0.507546687132259,0.48940562859937,0.488842105263158,0.495579233733847,0.505468066491689,0.516154830454255,0.477664750110571,0.524554269627776,0.507988721804511,0.52475752935171,0.455654101995565,0.444108761329305,0.494206363803568,0.475728155339806,0.497845446710715,0.496389891696751,0.474036850921273,0.469255663430421,0.533910009449735,0.485926469239938,0.496018735362998
"COASTLINE",0.500508517670989,0.537706381079875,0.52347292611363,0.525956284153005,0.514200511218404,0.472589108015198,0.522791860861657,0.511989342806394,0.526219512195122,0.537470594824689,0.513115959794067,0.504515352197471,0.534146341463415,0.484294943194475,0.521189786785996,0.538613861386139,0.477477477477477,0.455223880597015,0.521305985768104,0.45091649694501,0.510217891460279,0.516574585635359,0.483865310417397,0.447941888619855,0.527066929133858,0.509811013654037,0.490083087644063,0.516331658291457,0.501079102937037,0.500854700854701,0.516598166297819,0.488203266787659,0.524274477895308,0.521704814522494,0.535208894878706,0.44994944388271,0.454682779456193,0.497107800175285,0.475597092419522,0.488645920941968,0.485217391304348,0.48,0.5,0.52756366474778,0.479580260918888,0.487741759738491
"CONSULATE",0.524797748856841,0.479166666666667,0.497141202866035,0.493564993564994,0.550612308169276,0.519757365684575,0.488724159532261,0.498468941382327,0.483768300445576,0.502109223577699,0.492063492063492,0.501223990208078,0.507104795737123,0.504985597163749,0.485894275540948,0.45979381443299,0.451107011070111,0.477031802120141,0.492037994133259,0.520622568093385,0.533257604442762,0.474006116207951,0.512658227848101,0.453768453768454,0.497159859345415,0.536935134233784,0.523740364205117,0.544550352258599,0.518251431120363,0.53140513706022,0.486421130952381,0.499331252786447,0.513187886681863,0.51052373959863,0.505756013745704,0.49440488301119,0.489528795811518,0.472990294817799,0.524978089395267,0.51855986603405,0.458181818181818,0.536155202821869,0.559815950920245,0.500239616613419,0.517523364485981,0.510961214165261
"FAVELAS",0.469257540603248,0.547130068457083,0.553589315525876,0.516047828823159,0.498528546203649,0.451393728222997,0.548375870069606,0.559819413092551,0.521024967148489,0.555161943319838,0.553382420616659,0.545935545935546,0.569111219038368,0.441348023331173,0.560313188157573,0.54389721627409,0.529821073558648,0.425641025641026,0.555936595031245,0.472463768115942,0.471135940409683,0.519519519519519,0.473391948172143,0.495320855614973,0.53920704845815,0.480826737027265,0.464830825061373,0.477852348993289,0.464497691800396,0.464741746232601,0.547706844895137,0.455361148497084,0.555269922879177,0.553142329020333,0.560467816854678,0.458972046889089,0.463645943097998,0.526594737838349,0.451685393258427,0.463160854893138,0.498333333333333,0.462378640776699,0.487309644670051,0.553141789301565,0.449543846583504,0.470963070238957
"HEREFORD_BASE",0.52327475852438,0.490480961923848,0.494689028651293,0.472167648984938,0.55572558020913,0.512799474893338,0.488888888888889,0.495823095823096,0.482292337411462,0.506165725481157,0.482575582737134,0.483870967741935,0.504123969007748,0.502966772151899,0.4900878293601,0.435100548446069,0.48,0.484756097560976,0.494595524956971,0.497893030794165,0.519948335246843,0.473262032085562,0.512108040981062,0.477551020408163,0.491113434396236,0.539324016899578,0.531692441733827,0.511715797430083,0.525005491689244,0.531283138918346,0.490135287485908,0.523142250530786,0.487976539589443,0.489380147377547,0.497226753670473,0.474955277280859,0.484412470023981,0.477223786648998,0.508601346297681,0.526424564511367,0.457142857142857,0.551507537688442,0.528552456839309,0.496338240845602,0.506253448592974,0.532315521628499
"HOUSE",0.474147047364613,0.535853251806559,0.56248781438877,0.512005191434134,0.485374907201188,0.444603543941292,0.540706427330631,0.560074976569822,0.518759018759019,0.552815508373995,0.53356890459364,0.540500736377025,0.565079652425778,0.452640402347024,0.560554538320691,0.511363636363636,0.536945812807882,0.470948012232416,0.55396123767426,0.447539107210988,0.471166032953105,0.483660130718954,0.468684394681596,0.4337899543379,0.548780487804878,0.470497649538013,0.46868155935173,0.471177944862155,0.469162844821685,0.471529667936854,0.547215934812132,0.446466356326703,0.540581929555896,0.546403075233388,0.559305075495725,0.43684710351377,0.412,0.547596956763778,0.481081081081081,0.461694365626267,0.498150431565968,0.479134466769706,0.479166666666667,0.560365058670143,0.459716905546159,0.466672631296412
