"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.544507189846888,0.470186618115612,0.468287422801686,0.487711213517665,0.565200813421454,0.528446771378709,0.485222700152629,0.459636925453843,0.469554300062775,0.491318404981439,0.477393281131599,0.471922246220302,0.492634007809727,0.527771955564871,0.469461948618517,0.485915492957746,0.420245398773006,0.519607843137255,0.478813923506661,0.51729212656365,0.538667967797024,0.425149700598802,0.518089725036179,0.491424310216257,0.47905331882481,0.546611876561115,0.531660084087145,0.520735356990167,0.541253836036826,0.541550354305347,0.480931613621602,0.521815008726004,0.472951258703803,0.482683982683983,0.488184291057463,0.478711162255466,0.51949860724234,0.475798965654422,0.529654036243822,0.53865859338612,0.46594427244582,0.539597315436242,0.482170542635659,0.485447891251307,0.528686226873482,0.537712895377129
"BARTLETT_U.",0.552342735748849,0.482437579348286,0.473861090365945,0.452380952380952,0.573462062136403,0.532538781687476,0.477184412123904,0.466083150984683,0.455494168201351,0.473815461346633,0.472118959107807,0.441193021947102,0.484383088869715,0.532301902571608,0.463907829767223,0.445161290322581,0.461024498886414,0.477157360406091,0.471491228070175,0.498078938176738,0.553791044776119,0.369281045751634,0.522628749783249,0.479806138933764,0.471125313855284,0.565842624010341,0.542785676671933,0.561124121779859,0.560928610754267,0.562543192812716,0.467812835791736,0.529947916666667,0.453844107475392,0.462068965517241,0.479615286407354,0.475460122699386,0.493943472409152,0.452091960588319,0.510026155187446,0.547129695251595,0.470774091627172,0.529976019184652,0.5,0.472219304694885,0.539122883195832,0.543032455998708
"BORDER",0.518246825298977,0.531521739130435,0.503624542261415,0.492350486787204,0.534190927555857,0.502474305291207,0.493992320079277,0.484627410109432,0.481560283687943,0.519358407079646,0.499088007295942,0.502496878901373,0.516613361762616,0.496158511928831,0.505208333333333,0.510588235294118,0.46839378238342,0.46078431372549,0.50323236725503,0.468851395197923,0.516222961730449,0.474164133738602,0.501979686693062,0.464601769911504,0.519903820464868,0.534263852686454,0.514336917562724,0.520864756158874,0.522578611395697,0.516321740985705,0.503035162066201,0.492223623371164,0.484978540772532,0.493773687060097,0.510451727192205,0.4375,0.470959595959596,0.481586805061851,0.514592933947773,0.518489984591679,0.515482695810565,0.508344030808729,0.530685920577617,0.504130730821607,0.505934989043097,0.518015963511973
"CHALET",0.47956680428409,0.547479484173505,0.553796445880452,0.522949586155004,0.511140760507005,0.449074975657254,0.541179279064216,0.56038374717833,0.554022988505747,0.543393393393393,0.536774193548387,0.527846534653465,0.555048743403989,0.462197472692225,0.545404663923182,0.543859649122807,0.509952606635071,0.458874458874459,0.545189098998888,0.455887648541592,0.473627700979734,0.467065868263473,0.470359228455141,0.430316091954023,0.527278003482298,0.49195534395009,0.464509605662285,0.470847623713866,0.468857182055152,0.477452202826268,0.547645125958379,0.459223724378543,0.538784744667098,0.51976401179941,0.544906797213331,0.438328236493374,0.475504322766571,0.513199245757385,0.481795088907705,0.479737927687454,0.544483985765125,0.493029150823828,0.52276295133438,0.551530612244898,0.45239214211862,0.465877044557248
"CLUB_HOUSE",0.504209699146834,0.534310850439883,0.519205298013245,0.527350952673632,0.516465422612514,0.480529300567108,0.522310798219277,0.508096628616937,0.525,0.524502188956362,0.51937618147448,0.518274415817855,0.529066517607602,0.482819556253682,0.527357998957791,0.462121212121212,0.5067497403946,0.361111111111111,0.522300203758207,0.474273713685684,0.497079129049389,0.471014492753623,0.49724328049621,0.453932584269663,0.523259259259259,0.499488551420253,0.488350798657035,0.505176876617774,0.494722759030772,0.505002578648788,0.526300207243659,0.472380178716491,0.512159390565485,0.516786570743405,0.527417659425368,0.452562704471101,0.461636828644501,0.5,0.506363636363636,0.500884955752212,0.52,0.495327102803738,0.489533011272142,0.522165259348613,0.483490770430713,0.491518523544579
"COASTLINE",0.507177033492823,0.51133909287257,0.513591433278418,0.524980174464711,0.521359940872136,0.484450587422253,0.520822752666328,0.5002435460302,0.512920908379013,0.531698481259579,0.50382484832498,0.473309608540925,0.53192358770048,0.50046511627907,0.532798625035806,0.514986376021798,0.52896725440806,0.40952380952381,0.521780573825184,0.476801988400994,0.511821764170961,0.488095238095238,0.491967491967492,0.453410981697171,0.514590347923681,0.517224834468861,0.492873432155074,0.513896171997902,0.497165825002577,0.500909472505947,0.518760958503799,0.482435597189696,0.512447552447552,0.522945570971185,0.515594350725775,0.458435207823961,0.486739469578783,0.509942481511915,0.459803921568627,0.50744248985115,0.482824427480916,0.504464285714286,0.477406679764244,0.51644236395553,0.490556247405562,0.490667623833453
"CONSULATE",0.530057803468208,0.501378929950358,0.498532523377244,0.491183879093199,0.54352324458546,0.510610813803285,0.504324894514768,0.480261673810061,0.47970479704797,0.491698948533481,0.487936344969199,0.469824789097988,0.504568255105697,0.51681706316653,0.494878706199461,0.467625899280576,0.448744769874477,0.511415525114155,0.497559595387989,0.498866947232114,0.53199291856348,0.513071895424837,0.505336768494663,0.473149492017417,0.500146584579302,0.53917200032407,0.520034283265481,0.515070921985816,0.522129186602871,0.529843600383019,0.493460290886261,0.506149116064566,0.485668276972625,0.5,0.497526501766784,0.497536945812808,0.479843953185956,0.47528107192361,0.534426229508197,0.540285506895717,0.473098330241187,0.540960451977401,0.488924050632911,0.494116665275807,0.511716715847943,0.522641738497026
"FAVELAS",0.471452607964105,0.553413236060448,0.552460748792271,0.555478502080444,0.497005988023952,0.456905503634476,0.537529691211401,0.535377358490566,0.533904354032834,0.564941103533788,0.558253461128861,0.557477110885046,0.568697374938088,0.450070323488045,0.540320650873415,0.490956072351421,0.505549949545913,0.436974789915966,0.547293277810827,0.463942307692308,0.474908373273189,0.545454545454545,0.470449867685975,0.458753709198813,0.548417132216015,0.477669902912621,0.473684210526316,0.453769559032717,0.475335678897106,0.467972957488255,0.548704061895551,0.465334900117509,0.534565916398714,0.542690058479532,0.559417808219178,0.424561403508772,0.487205731832139,0.529172099087353,0.454668470906631,0.474030909551558,0.530188679245283,0.490335707019329,0.42837653478854,0.549062049062049,0.448866182665591,0.463576158940397
"HEREFORD_BASE",0.523339907955293,0.494949494949495,0.500722394220846,0.481884057971014,0.548182854248449,0.505527817403709,0.490260933480338,0.501841394549472,0.48,0.504057971014493,0.483442047165078,0.490939977349943,0.502959657590383,0.505728314238953,0.509072831220482,0.516990291262136,0.489572989076465,0.5,0.500146156094709,0.489322191272052,0.512162954279015,0.439490445859873,0.508127438231469,0.480546075085324,0.485007278020378,0.531816334823243,0.518013216798124,0.520768200089326,0.524499811249528,0.522479838709677,0.4951733014618,0.516966067864271,0.496629901960784,0.467806267806268,0.497895475271834,0.491881566380134,0.50328227571116,0.48862293144208,0.506217995610827,0.534041394335512,0.512411347517731,0.537578288100209,0.479338842975207,0.496233048719237,0.511373370134196,0.530614821360939
"HOUSE",0.474132750614586,0.547919293820933,0.558494966854898,0.533288043478261,0.488891862955032,0.442073170731707,0.547131379427408,0.551571980143409,0.517441860465116,0.551967531321687,0.547585821936924,0.547389761784085,0.560279008389104,0.46794219417871,0.55041095890411,0.484042553191489,0.528333333333333,0.446902654867257,0.54725198755617,0.442362093352192,0.471424010217114,0.5,0.460508922670192,0.468515742128936,0.54361328652444,0.472439759036145,0.463274003509652,0.471027216856892,0.465871348200366,0.465890365813468,0.552051478083588,0.443831296807253,0.558729233459633,0.546875,0.548994038748137,0.414556962025316,0.44813829787234,0.530025231286796,0.452338129496403,0.45753114382786,0.535192563081009,0.481741573033708,0.449197860962567,0.551806564310012,0.452919610122507,0.473749227918468
"KAFE_DOSTOYEVSKY",0.510573334841117,0.523150357995227,0.510601427115189,0.509302325581395,0.532796878810046,0.492221418234443,0.520431115276476,0.491316094172134,0.481505944517834,0.52212389380531,0.51727078891258,0.516592920353982,0.525604117595743,0.497408293460925,0.513263855992421,0.483069977426637,0.468405215646941,0.504672897196262,0.513181594891109,0.480999657651489,0.504394299287411,0.469325153374233,0.485529390616574,0.464311994113319,0.51314203038341,0.513261024463621,0.499337109798722,0.507030603804797,0.510791971109431,0.504835187688468,0.511372472783826,0.500803212851406,0.512513312034079,0.522610483042138,0.522659854976928,0.453740157480315,0.448275862068966,0.498376623376623,0.463768115942029,0.504248658318426,0.50593471810089,0.501190476190476,0.516431924882629,0.522306576814809,0.48582995951417,0.502059800664452
"KANAL",0.518783345250536,0.49634214969049,0.497905252980986,0.513305322128851,0.5452,0.505444646098004,0.510230316014997,0.494555873925501,0.512024825446082,0.506382978723404,0.486137798517705,0.496702181633688,0.519318614389037,0.48772395487724,0.509846236849204,0.513447432762836,0.464991023339318,0.491891891891892,0.498531629494404,0.490941385435169,0.512947337794588,0.455696202531646,0.500656044985942,0.495741056218058,0.511105017822868,0.527649414664202,0.514642937598558,0.517585757707338,0.518090490218294,0.524394291403916,0.505557871335279,0.509733810091379,0.493304930006086,0.496924969249692,0.512016331075438,0.478009259259259,0.465940054495913,0.484029484029484,0.52210175145955,0.500158077774265,0.455752212389381,0.506544502617801,0.547920433996383,0.506526674233825,0.497228745890089,0.516959064327485
"OREGON",0.516210477993918,0.503095975232198,0.505649470088465,0.493809176984705,0.533461047254151,0.495149185429251,0.505028320425384,0.503129657228018,0.506657789613848,0.509591429995017,0.501464293759856,0.510435301132976,0.516653888746912,0.510792741165234,0.525878442545109,0.48125,0.484817813765182,0.489082969432314,0.515765433917784,0.481749791028142,0.52454748326308,0.427325581395349,0.508997050147493,0.520491803278688,0.520900321543408,0.515829603845516,0.508876298394712,0.496632240682533,0.514103887168903,0.514812302125735,0.494872890408032,0.504874947011446,0.503690506490201,0.506358926048045,0.511101694915254,0.469439728353141,0.504469987228608,0.490174129353234,0.500707213578501,0.506130350613035,0.511904761904762,0.523809523809524,0.524652338811631,0.509249702262803,0.500134036279153,0.505520046484602
"PLANE",0.519572073464844,0.504122497055359,0.491252764930625,0.473636363636364,0.54367079983649,0.515348682015349,0.494345718901454,0.480754124116261,0.5,0.49840830449827,0.485947879407256,0.496078431372549,0.510984540276648,0.505401234567901,0.5,0.545994065281899,0.489634748272458,0.523676880222841,0.493951254225227,0.497370936902486,0.513490364025696,0.476331360946746,0.500281928390189,0.463740458015267,0.481019522776573,0.53657284626572,0.527314814814815,0.524215246636771,0.514530518505432,0.513718317219754,0.512681617982079,0.506152584085316,0.477803073420603,0.490790899241603,0.504171957192091,0.504118616144975,0.478753541076487,0.479980842911877,0.520266803488969,0.521872015281757,0.496336996336996,0.533449174630756,0.482532751091703,0.506357942683621,0.501658536585366,0.515461806266639
"SKYSCRAPER",0.513677264547091,0.512306289881495,0.506292736101477,0.49452804377565,0.535892380841934,0.508646063281825,0.507153224134356,0.501774308019872,0.497813866333542,0.522280915616958,0.504852227613586,0.487820934825543,0.527031650983747,0.483583299554114,0.505438723712835,0.498876404494382,0.465665236051502,0.521367521367521,0.500465910855723,0.479614325068871,0.515196342119419,0.475409836065574,0.49748427672956,0.500325309043591,0.505612493899463,0.525581793292266,0.509727626459144,0.522429906542056,0.512373013805679,0.517861080485116,0.508419030398915,0.481661511268228,0.50721800831906,0.516129032258065,0.514435695538058,0.464655172413793,0.467869222096956,0.501985177342509,0.490629183400268,0.501974448315912,0.506616257088847,0.513098464317977,0.482849604221636,0.51460947743023,0.493494999557483,0.495012679628064
"YACHT",0.506433381433381,0.510392609699769,0.513414634146341,0.488715953307393,0.533895243829019,0.496051687006461,0.499593716143012,0.489018087855297,0.504835589941973,0.523186826492311,0.494875549048316,0.485142857142857,0.523120191910001,0.49231690281381,0.507656065959953,0.495575221238938,0.440175631174533,0.531365313653137,0.512500938508897,0.495878249841471,0.520774948214938,0.519607843137255,0.491205421978377,0.456926257753274,0.507872965038698,0.522273055622442,0.507410838351088,0.528259902091678,0.512812169527373,0.503770739064857,0.501270002540005,0.514048278591215,0.518796992481203,0.495927601809955,0.518008563512719,0.454022988505747,0.489617486338798,0.492443012884044,0.487012987012987,0.517185929648241,0.496919917864476,0.533123028391167,0.472375690607735,0.522430668841762,0.493460490463215,0.507181844297616
