"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.487532043812631,0.533847131733672,0.489691545469075,0.532250414986958,0.522547183402968,0.463906111603189,0.486301369863014,0.560490429125485,0.498327250608272,0.538531653960888,0.463197969543147,0.481640009011039,0.537728310502283,0.485142118863049,0.477576578101202,0.551674295350518,0.484118291347207,0.534925599469245,0.528712111523213,0.440166493236212,0.483821850019033,0.514945964589561,0.479492915734526,0.54331450094162,0.500038523769166,0.476139524930452,0.478302929795467,0.529677980852916,0.43424317617866,0.503150315031503,0.491286745291322,0.526235158942934,0.519074098021466,0.461818181818182,0.480814488897984
"BARTLETT_U.",0.468195790967132,0.550354271156755,0.478470762282956,0.549692066175583,0.534464944649446,0.459629023458811,0.445759368836292,0.565815815815816,0.484999622156729,0.54163396983172,0.448667044809983,0.474103585657371,0.551518282532576,0.481729598051157,0.470428893905192,0.57509424784142,0.470898474288943,0.552067612435859,0.540509407397927,0.498602050326188,0.479924663984248,0.535052834905124,0.46687486058443,0.538863715580342,0.477197499080544,0.467815782386211,0.464932298798113,0.528921220723918,0.467120181405896,0.497247706422018,0.482468525708907,0.532335444252543,0.540299531267863,0.466417910447761,0.470986588766432
"BORDER",0.505589430894309,0.525067628494139,0.513826777402574,0.516449289468561,0.500155763239875,0.47524247064829,0.461538461538462,0.540908512533401,0.521136739352909,0.520238184970227,0.490813648293963,0.493705941591138,0.515303931791695,0.5,0.484774066797642,0.536118132233604,0.504774594714635,0.520769817073171,0.512186709588411,0.470829068577277,0.508978510450397,0.509237875288684,0.49533037590474,0.51427498121713,0.503690485846378,0.499562299387219,0.482558139534884,0.497370806890299,0.494646680942184,0.462873674059788,0.512815761842999,0.501574637833298,0.504625928041119,0.471001757469244,0.506625891946993
"CHALET",0.550911640953717,0.469959314977765,0.556563340974783,0.458232269331522,0.462418560305101,0.514492753623188,0.470842332613391,0.495627980922099,0.560687605430155,0.463211945138842,0.553584102200142,0.528575334974022,0.47381009327912,0.46531184302733,0.541221235731111,0.492350103376981,0.532413113137786,0.475091130012151,0.466509385578008,0.488770053475936,0.543790546802595,0.455440669620876,0.564737573861661,0.43961179007908,0.560307194826192,0.54457344775366,0.545832097300504,0.435990801073208,0.494736842105263,0.434738955823293,0.549932249322493,0.460942543576501,0.455813329757275,0.48692152917505,0.557567917205692
"CLUB_HOUSE",0.526089449541284,0.499136912873626,0.529222925125106,0.494339622641509,0.486278137526981,0.490592530188149,0.436224489795918,0.514191167112129,0.534903567161632,0.493829018663456,0.497005988023952,0.517414321538033,0.499706710464571,0.490896830748483,0.519662447257384,0.518559101492946,0.523397761953204,0.50245724395518,0.491339921368611,0.438764643237487,0.524390243902439,0.488424021624163,0.51533413686889,0.482487491065046,0.533686926605505,0.525229949282214,0.516154830454255,0.471099942006573,0.462603878116344,0.461257976298997,0.528496059402071,0.479564032697548,0.488439306358382,0.435555555555556,0.520661157024793
"COASTLINE",0.523586070634725,0.503194596568091,0.533652173913043,0.486857746664906,0.488210594315245,0.503197108701696,0.399532710280374,0.521662604928243,0.530857960764503,0.499013065137701,0.488778054862843,0.535423647678315,0.500351774864087,0.473751600512164,0.510627177700348,0.511515310128239,0.521879715455917,0.498197312356604,0.490811236545025,0.461083743842365,0.523229981647832,0.483191769350401,0.512097669256382,0.512237159600138,0.52752117013087,0.521390878251037,0.516598166297819,0.476081570421193,0.476439790575916,0.4375,0.532598181466435,0.475997439726904,0.47487153778669,0.459514170040486,0.521964167219642
"CONSULATE",0.509417304296645,0.52868068833652,0.503120984027905,0.510680012382623,0.51492982979994,0.480349344978166,0.461728395061728,0.543399070468534,0.50248351111473,0.519130950615453,0.464846416382253,0.481404421326398,0.524933765086841,0.442154255319149,0.494796421398576,0.549444286121402,0.492112079114669,0.530700490054771,0.523203108137276,0.433653846153846,0.493004378938374,0.517340319361277,0.496265312219898,0.547801814375436,0.500982781665225,0.487826011610779,0.486421130952381,0.522540609600292,0.469387755102041,0.491295938104449,0.501488981536629,0.505998286203942,0.528417640930663,0.446969696969697,0.496825396825397
"FAVELAS",0.552450864314468,0.468444528803265,0.553720633048265,0.468706536856745,0.455852156057495,0.529076738609113,0.445676274944568,0.492101910828025,0.567353124721405,0.464267722202231,0.525469168900804,0.537333695357046,0.469829598506069,0.497752087347463,0.550972762645914,0.494619422572179,0.533083645443196,0.463003589948145,0.465601965601966,0.454630495790458,0.552431685903127,0.450312322544009,0.563032490974729,0.475124378109453,0.553095311063439,0.543279313632031,0.547706844895137,0.456223628691983,0.436320754716981,0.440175631174533,0.561265316329082,0.447579769915346,0.457054877378203,0.455089820359281,0.554051823733289
"HEREFORD_BASE",0.486522198731501,0.522066634476098,0.502037120869172,0.531609195402299,0.51627839675879,0.46814404432133,0.441048034934498,0.552698915559888,0.502818750482663,0.524273948851322,0.485951468710089,0.482607575367173,0.523183835552441,0.475032010243278,0.482982428367896,0.555336883537856,0.486541506446505,0.52869342442357,0.532576712904582,0.471497584541063,0.497093023255814,0.513022217497608,0.490846804410663,0.515454261629722,0.496614835205714,0.487976428096189,0.490135287485908,0.512380952380952,0.451764705882353,0.497921862011638,0.495991049785568,0.493122562102238,0.512430297397769,0.473394495412844,0.494271231164502
"HOUSE",0.535704284514142,0.468504385465315,0.550753662907136,0.466859294282462,0.456734929333718,0.546589259796807,0.45679012345679,0.472076255651961,0.561787617876179,0.468550901450454,0.546561604584527,0.523531131248173,0.473542751553838,0.465901417960837,0.536039188243527,0.484827959902465,0.539978563772776,0.472559494900437,0.470374132385306,0.468477206595538,0.548424601790489,0.453532479848269,0.55882596799602,0.466597438560055,0.560606060606061,0.539379023097312,0.547215934812132,0.445482866043614,0.412946428571429,0.440789473684211,0.559550561797753,0.451391536408692,0.463898697187386,0.453222453222453,0.561847988077496
