"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.486189195795649,0.541882991088725,0.496176470588235,0.522373381412883,0.524610854017669,0.458505108442373,0.434180138568129,0.55806294218102,0.495541702832794,0.533328005115089,0.478484565014032,0.490138067061144,0.537916015188742,0.454805491990847,0.48598634567014,0.565298725593359,0.471706654594839,0.538495811798253,0.521800643086817,0.493815413891532,0.487743190661479,0.522193792412949,0.466237942122186,0.538386467143787,0.494132572153505,0.47740145647902,0.486506469500924,0.538045438153624,0.427906976744186,0.481140754369825,0.488288181710635,0.517583945956686,0.517604760724027,0.44952380952381,0.481083233771406
"BARTLETT_U.",0.469337893965307,0.554985799936889,0.477555382821609,0.558535762483131,0.540509753666524,0.447654213727194,0.460554371002132,0.567888748419722,0.477894567921046,0.552116839085456,0.450087565674256,0.483818393480792,0.551114214231687,0.502611723737667,0.461612130885874,0.5794623776853,0.469171483622351,0.549451635213912,0.545942320590208,0.470967741935484,0.476147370326786,0.543154761904762,0.473592426507225,0.559957173447537,0.466871957882189,0.456369896704378,0.466224366706876,0.538431826960216,0.455508474576271,0.522026431718062,0.479830148619958,0.532488432910883,0.532983935285405,0.471502590673575,0.46519235802146
"BORDER",0.498097746561311,0.517422566371681,0.509842279007214,0.512363636363636,0.503466750709108,0.483141082519965,0.462287104622871,0.539729331368083,0.519604557640751,0.514204326738009,0.478539713862851,0.518551765409934,0.514507253626813,0.463924050632911,0.504223283143592,0.530944625407166,0.513831258644537,0.511268939393939,0.508148868888348,0.451645064805583,0.512778505897772,0.499372790512031,0.501694915254237,0.505800464037123,0.516509641630712,0.496784565916399,0.500308832612724,0.491836734693878,0.462264150943396,0.470899470899471,0.515312131919906,0.489749943681009,0.499766464269033,0.463898916967509,0.510165780419143
"CHALET",0.534339846062759,0.461524695776664,0.552597402597403,0.452345958168457,0.46496624156039,0.535919210465917,0.393023255813953,0.498721227621483,0.564885496183206,0.458831475852752,0.542857142857143,0.549495586380832,0.472502124559913,0.463940942646224,0.534690799396682,0.486123431757699,0.536123567513702,0.4690084481992,0.452043540768125,0.483689538807649,0.548570750800617,0.452977315689981,0.565284441398218,0.473529411764706,0.556236034097492,0.546245568804383,0.555071622144793,0.437421251574969,0.489637305699482,0.413160733549083,0.551579535923959,0.462038590604027,0.46239939637827,0.448616600790514,0.563686346380416
"CLUB_HOUSE",0.527110117384013,0.507962898144907,0.517976343834173,0.491927558612944,0.485893854748603,0.510373443983402,0.434004474272931,0.524197470817121,0.523904902899939,0.499209315698677,0.509063444108761,0.512781497261108,0.506892368769299,0.446544980443286,0.524790502793296,0.526022304832714,0.506737859140605,0.50321761986767,0.5009367194005,0.473012757605496,0.514689089587875,0.493333333333333,0.507479431563201,0.502400548696845,0.515886524822695,0.519001458351205,0.524258077585334,0.486116542823621,0.447867298578199,0.455146364494806,0.519681500032107,0.467490378772534,0.494173787592942,0.46875,0.514447592067989
"COASTLINE",0.50207468879668,0.504769692014173,0.525733259546209,0.489599720328614,0.487416374641606,0.488781664656212,0.444700460829493,0.530888575458392,0.530291177748805,0.503181776261182,0.502233250620347,0.512275862068965,0.501778668908867,0.500632911392405,0.5042062911485,0.52331799527422,0.517660292463442,0.499457818260681,0.494167550371156,0.452747252747253,0.521081529058324,0.496031275915176,0.517465670922669,0.51071155317521,0.519214876033058,0.509045477261369,0.523073732241004,0.485322476965931,0.481865284974093,0.481220657276995,0.521346801346801,0.481330472103004,0.493724869014256,0.47887323943662,0.518600704868816
"CONSULATE",0.487519260400616,0.530516431924883,0.489747436859215,0.51566424322538,0.51561332735694,0.479125248508946,0.436325678496868,0.542475422233426,0.500706743161221,0.517602283539486,0.470967741935484,0.469585659712019,0.527209480573079,0.473653049141504,0.472645922310352,0.545405185285734,0.486419137802143,0.530397727272727,0.519327731092437,0.46518668012109,0.494348069390039,0.514653586756591,0.504700592683425,0.528571428571429,0.493980904939809,0.501044039483675,0.497342883548983,0.527250206440958,0.44963144963145,0.465324384787472,0.498223026889291,0.514081546868432,0.517049872264801,0.468503937007874,0.510904970967285
"FAVELAS",0.545759463344514,0.4680251068862,0.563523507659799,0.454957507082153,0.456521739130435,0.544687189672294,0.445727482678984,0.482562547384382,0.563596690608237,0.47172472147793,0.529381706693919,0.534023668639053,0.465039727582293,0.484384207424867,0.557918479136459,0.483126764020125,0.54828352679674,0.462484388509943,0.464547933710929,0.45841784989858,0.550552514716513,0.45049983876169,0.552590489709013,0.473356670556204,0.561182761874803,0.556180339391505,0.547529706066291,0.45358042461317,0.465564738292011,0.426718547341115,0.559487761796619,0.438011327879169,0.45488643467389,0.472998137802607,0.552582652978741
"HEREFORD_BASE",0.501018922852984,0.513524031912823,0.497770621748823,0.522065369451863,0.496458923512748,0.484331698998081,0.426966292134831,0.535077881619938,0.51830985915493,0.510639864516604,0.48768710767745,0.501603031186243,0.514340116625015,0.476107226107226,0.490999821778649,0.531942028985507,0.506017925736236,0.523087525844245,0.518339876612451,0.457112970711297,0.503903708523097,0.49951440595662,0.500685714285714,0.524369166954718,0.511288917056167,0.495222929936306,0.501120093503458,0.527509293680297,0.448529411764706,0.459016393442623,0.509012210091091,0.496753973584061,0.500701918577445,0.429126213592233,0.504636408003904
"HOUSE",0.531292702924296,0.463494132985658,0.543295890800512,0.475175918686474,0.468480603448276,0.534415899175957,0.458033573141487,0.494303873366111,0.556170819699639,0.472062763107539,0.508561643835616,0.510939510939511,0.470410275463086,0.474781439139206,0.536576444769568,0.493397507096137,0.544063779357897,0.472369140981215,0.471009129040217,0.434384537131231,0.545331027667984,0.460263070631148,0.554972573336513,0.471447994561523,0.55049774525653,0.539919586444572,0.543823811043728,0.451288244766506,0.481751824817518,0.452338129496403,0.550895381715363,0.445470978108054,0.453978342749529,0.489208633093525,0.553301029678982
"KAFE_DOSTOYEVSKY",0.502304147465438,0.50958126330731,0.516462440063932,0.50214163335237,0.492186400112628,0.492522913651712,0.498871331828442,0.532536356913976,0.524274174198192,0.504750304506699,0.510502283105023,0.503388946819604,0.502949360044519,0.478510028653295,0.516663930389099,0.532754167644987,0.509235352532274,0.511148469297469,0.491371596574204,0.447821681864235,0.523424723424723,0.490295748613678,0.509839724081964,0.500537056928034,0.514205457463884,0.519351935193519,0.515056588520614,0.4921875,0.493723849372385,0.474237644584648,0.522220869353464,0.481806506849315,0.488409828465461,0.485265225933202,0.513320700033441
"KANAL",0.497178329571106,0.520760574311215,0.506031151188664,0.514399205561073,0.504263565891473,0.483635448136959,0.46259842519685,0.534044099830385,0.516804635761589,0.521471117883363,0.470737913486005,0.517636937195297,0.518539915966387,0.487237663074305,0.495011790313804,0.535693757903207,0.504972375690608,0.511437163947872,0.506721022476862,0.469469469469469,0.504552264607583,0.500946297610599,0.492928112215079,0.524435456690259,0.504237658366099,0.510447493498341,0.502717204375043,0.512980860337313,0.446859903381642,0.465945945945946,0.513732754215636,0.488714019465728,0.503124276787781,0.495575221238938,0.502284148012791
"OREGON",0.499415478138882,0.512637718729747,0.513279866680554,0.510180337405468,0.49454328001196,0.484404359263435,0.428571428571429,0.545237796461287,0.516657390474676,0.519148233740508,0.4997920997921,0.509502733663109,0.513323506066447,0.472835820895522,0.49487936122201,0.527800731908866,0.503669112741828,0.505853704224033,0.51072033101373,0.46,0.504586260733802,0.503341215174257,0.500900630441309,0.511858407079646,0.512007684918348,0.505424254165052,0.50210363153233,0.499523900209484,0.397647058823529,0.462226640159046,0.516154500182194,0.50117508813161,0.495602462620932,0.455555555555556,0.504268846503179
"PLANE",0.485420240137221,0.519308943089431,0.498129967274427,0.515686274509804,0.514671013633669,0.492150811753656,0.412416851441242,0.543284789644013,0.510518001164048,0.522920203735144,0.50974025974026,0.496296296296296,0.520349366167283,0.465952080706179,0.496762801648028,0.542877995377691,0.484834234657889,0.511251400061094,0.511077425373134,0.468253968253968,0.503666929933431,0.50188679245283,0.484674329501916,0.535580524344569,0.496898263027295,0.50185210591302,0.509607395097632,0.509931446651433,0.50137741046832,0.471753484959648,0.505241643040812,0.487464617873029,0.504939252867038,0.464077669902913,0.490890375707669
"SKYSCRAPER",0.508882392624241,0.508264116117124,0.515466147523253,0.496684350132626,0.490422029332535,0.507859733978235,0.429411764705882,0.521497552586321,0.525150268902246,0.509693919643594,0.511474134577985,0.512600929777343,0.507898149239656,0.457866823806718,0.510496671786994,0.534291920968243,0.518146401476317,0.505536051849852,0.509423186750428,0.433734939759036,0.515858208955224,0.493732738474612,0.503717472118959,0.500509683995923,0.518008474576271,0.507647109651776,0.511677534084173,0.480194319880419,0.463465553235908,0.460859977949283,0.519640378929584,0.465178914967295,0.493562231759657,0.475499092558984,0.512947713066772
"YACHT",0.540304467182431,0.501301883902588,0.511818274838842,0.497636834883366,0.4871757716273,0.499066467513069,0.466809421841542,0.531807555063369,0.530062678944518,0.507996463875271,0.500586166471278,0.526234169035927,0.506545760269037,0.465683494044243,0.510800930541708,0.524201737560645,0.511891531451434,0.511427993527508,0.507994186046512,0.448834853090172,0.516379310344828,0.487908496732026,0.507574549513634,0.510842516885887,0.521868631446935,0.518938053097345,0.499376817615289,0.485395348837209,0.44954128440367,0.43649946638207,0.524641103722578,0.487389659520807,0.491188645771733,0.487128712871287,0.51066533539076
