"","416-C_CARBINE","552_COMMANDO","556XI","6P41","9mm_C1","9x19VSN","AK-12","AR33","AUG_A2","C7E","C8-SFW","CAMRS","F2","FMG-9","G36C","G8A1","HK417","ITA12L","L85A2","M1014","M12","M249","M590A1","M870","MK17_CQB","MP5","MP5K","MP5SD","MP7","MPX","OTs-03","P90","PARA-308","PDW9","R4-C","SASG-12","SG-CQB","Shield","SPAS-12","SPAS-15","SR-25","SUPER_90","SuperNova","TYPE-89","UMP45","VECTOR_.45_ACP"
"BANK",0.545590347601264,0.512443900448796,0.477270648495381,0.465101108936725,0.561320754716981,0.530849114233354,0.467781835316292,0.458031088082902,0.470484061393152,0.495561492717401,0.471177944862155,0.474619289340102,0.496982547708367,0.528641207815275,0.487332011456268,0.5,0.44097995545657,0.56353591160221,0.479422207876049,0.518759571209801,0.546095056126105,0.440506329113924,0.50583864118896,0.504208754208754,0.483474976392823,0.556281556281556,0.530204572803851,0.533385093167702,0.545307588684329,0.549171146953405,0.457419202642133,0.529815684857246,0.487310826542491,0.481872418540615,0.491226624927918,0.506060606060606,0.479948253557568,0.461526694202233,0.51929012345679,0.53468815697267,0.452287581699346,0.553246753246753,0.504112808460635,0.489089656228466,0.524273580688422,0.531422379826635
"BARTLETT_U.",0.556978383458647,0.478743776330908,0.459222222222222,0.457566765578635,0.577515647568609,0.536109303838647,0.45652598671356,0.446455505279035,0.455244371224602,0.47985347985348,0.467330160103851,0.448275862068966,0.487426388667834,0.551625027636524,0.474511469838573,0.455858747993579,0.430081300813008,0.52803738317757,0.472512069771064,0.521395181589356,0.558079925433997,0.43980343980344,0.507304785894207,0.47719298245614,0.470042007517135,0.55404675565157,0.55591985428051,0.554124748490946,0.556897527835441,0.558962822637935,0.450719232818327,0.552576601671309,0.474356152322254,0.471360381861575,0.477229679650828,0.505825242718447,0.498687664041995,0.440985516896954,0.547308319738989,0.560262725779967,0.427762039660057,0.547846889952153,0.500595947556615,0.479603473988946,0.541772151898734,0.555467275797001
"BORDER",0.528220594571305,0.523701002734731,0.503327726175675,0.486147757255937,0.530412946428571,0.496213368455713,0.499323691603371,0.490382274166058,0.518042813455658,0.51936804035405,0.499630450849963,0.493447293447293,0.516539653295369,0.500110448420588,0.495362663495838,0.438752783964365,0.491022638563622,0.458695652173913,0.506290478671927,0.499835472194801,0.520515203824193,0.479338842975207,0.498466257668712,0.478732276897414,0.501172058134083,0.525528782831022,0.506866002214839,0.516567544604928,0.52248709756697,0.527504011001604,0.46816622188334,0.496829541215964,0.49845348560552,0.513430206957288,0.513471502590674,0.469157254561251,0.463157894736842,0.475877192982456,0.508956145768993,0.532334672999635,0.49037037037037,0.511830635118306,0.491060786650775,0.509743672677286,0.503933488288933,0.522832445647429
"CHALET",0.484802073515551,0.558515699333968,0.548462255358807,0.532068062827225,0.497114591920857,0.452687991961146,0.536676336510568,0.552079284881461,0.53373413493654,0.542505809450039,0.519713261648746,0.53901494189264,0.565440264572137,0.469138543516874,0.539454456892353,0.511450381679389,0.504261363636364,0.437158469945355,0.54800673778776,0.442771084337349,0.481565589099653,0.491978609625668,0.467134320602754,0.442258340461933,0.533195020746888,0.48629038417475,0.468596663395486,0.481727574750831,0.486770981507824,0.491655830082358,0.500900900900901,0.465484722746134,0.544473007712082,0.545680238331678,0.556660039761431,0.436014625228519,0.449375866851595,0.511446409989594,0.499613302397525,0.485796476087738,0.504827586206897,0.48721399730821,0.486519607843137,0.550007681671532,0.458023671896504,0.471227399165508
"CLUB_HOUSE",0.513259541104577,0.498996990972919,0.510142059509506,0.492642731018246,0.526153846153846,0.480984340044743,0.513508629258155,0.497862105825762,0.507521255722695,0.520870630358994,0.501896333754741,0.509505703422053,0.532333480370534,0.500217202432667,0.529220023282887,0.50199203187251,0.465017064846416,0.498666666666667,0.516530156366344,0.456635318704284,0.517582564513972,0.481283422459893,0.490394877267876,0.485714285714286,0.513379583746283,0.518684056271981,0.502075508993872,0.507123604158645,0.511527030283557,0.521609878801738,0.484506226469736,0.488389513108614,0.498663816141101,0.514671634839311,0.521558945419275,0.445554445554446,0.442415730337079,0.489048596851472,0.500757575757576,0.511161558834658,0.476584022038567,0.516960651289009,0.479452054794521,0.517764697539182,0.493322062552832,0.513212927756654
"COASTLINE",0.498441396508728,0.525480769230769,0.519642373340558,0.493227091633466,0.521775265957447,0.477770687087854,0.525193552481279,0.50797373358349,0.55096011816839,0.532475884244373,0.518867924528302,0.529081990189208,0.540002097095523,0.496018202502844,0.533115533115533,0.523584905660377,0.503634475597092,0.440894568690096,0.524910485933504,0.468263976460698,0.504393101204035,0.50188679245283,0.476472523856532,0.489839572192513,0.512660028449502,0.503252276593615,0.498620478234212,0.509578544061303,0.499521874252929,0.503343663350188,0.497726333195535,0.498129092609916,0.51287922152261,0.522319138019497,0.530033073722394,0.458509142053446,0.489194499017682,0.480389984489253,0.469681397738952,0.518230233510856,0.517823639774859,0.523500810372772,0.471471471471471,0.522379852633894,0.484085029805421,0.491556160036269
"CONSULATE",0.527527587235312,0.492056286881525,0.501545595054096,0.477998794454491,0.548273844353423,0.515498869874072,0.496926132601911,0.499536607970343,0.518421052631579,0.501422879908936,0.490060959448715,0.476959904248953,0.512214273250742,0.50943841434639,0.510848601735776,0.456331877729258,0.464148033924441,0.559659090909091,0.498299688879242,0.51123595505618,0.532767144124731,0.463949843260188,0.506437768240343,0.51676698194325,0.490724269377382,0.531664326938075,0.521011025587685,0.526636844245628,0.518689280421538,0.539603399433428,0.455773126266036,0.509349289454001,0.491419231816944,0.494850187265918,0.500092336103416,0.461303462321792,0.474761255115962,0.479356060606061,0.492664092664093,0.54728002920774,0.478645066273932,0.52887537993921,0.521019108280255,0.498972494467278,0.521956891154637,0.522103728010209
"FAVELAS",0.479466858789625,0.540934203917629,0.544563995503453,0.529232643118149,0.491199765327075,0.441864350150351,0.547830578512397,0.547129260055266,0.521098459477562,0.556885593220339,0.541753896254943,0.55702398433676,0.561330166270784,0.465896215726263,0.544190431298609,0.494824016563147,0.512113617376775,0.459958932238193,0.547909407665505,0.46835091615769,0.485747359282304,0.502463054187192,0.462780269058296,0.473364801078894,0.531519396551724,0.48087694031045,0.472642967542504,0.468418626094975,0.477967734168071,0.479464517806083,0.535688140556369,0.455483377913642,0.537562604340568,0.529674252565819,0.555971813397556,0.423791821561338,0.461855670103093,0.525742574257426,0.467931937172775,0.482365514784467,0.557220708446866,0.476793248945148,0.481854838709677,0.557674199623352,0.463588414916258,0.474248927038627
"HEREFORD_BASE",0.52991452991453,0.503526093088858,0.491960314745125,0.477477477477477,0.548700038804812,0.512046257629296,0.483374896093101,0.476746959217744,0.488874345549738,0.504782565821911,0.475440976933514,0.48454157782516,0.505053936974433,0.50790260572405,0.51308779244846,0.453191489361702,0.461710037174721,0.501908396946565,0.492344532327117,0.513469119579501,0.528493482873598,0.458015267175573,0.508307247772694,0.49632892804699,0.484711512895507,0.53475935828877,0.516287954956766,0.510500807754443,0.537056409431077,0.535824856258293,0.475076777699031,0.516129032258065,0.476040021063718,0.496798975672215,0.499592575826166,0.490229396771453,0.454123112659698,0.48202396804261,0.525885558583106,0.5314046440807,0.497093023255814,0.535135135135135,0.506802721088435,0.505736646151508,0.503877400295421,0.539303221288515
"HOUSE",0.489133601351745,0.534134352812671,0.545412904070148,0.51765447667087,0.50943124550036,0.460034904013962,0.521626117695987,0.539169604386996,0.549316054715623,0.547488533392997,0.513080168776371,0.541410317084714,0.553382761816497,0.468137254901961,0.543951915852742,0.504032258064516,0.516002612671457,0.465065502183406,0.541588175626721,0.462754743499649,0.476501979686693,0.491228070175439,0.476816265807092,0.480874316939891,0.547848577474724,0.490477240973601,0.474963622357271,0.467270481679704,0.485350606311667,0.495354523227384,0.531723291035612,0.467353951890034,0.527438231469441,0.562978072412035,0.539658004057579,0.431372549019608,0.472451790633609,0.507834471675372,0.447893569844789,0.489526411657559,0.514130434782609,0.440677966101695,0.505590062111801,0.550108207091726,0.458276458276458,0.478159126365055
