"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.483368869936034,0.54319558247239,0.493488641296484,0.532556807332442,0.53618194348725,0.460296684118674,0.439075630252101,0.561771312439833,0.492428159858167,0.546508540578812,0.447865640307908,0.493957372006152,0.54739459834596,0.474320241691843,0.472315436241611,0.560580814091883,0.47870425914817,0.545383411580595,0.529816781421403,0.452127659574468,0.481427981840693,0.527618205921343,0.467256336111584,0.530018761726079,0.488788562829195,0.470316559222554,0.457419202642133,0.532881692002644,0.395180722891566,0.531862745098039,0.490450864257222,0.519781931464175,0.530170560412785,0.460136674259681,0.47696354072193
"BARTLETT_U.",0.471515151515151,0.558651530787754,0.47808453109435,0.555214429626787,0.53122037112285,0.444305694305694,0.544502617801047,0.568033340842532,0.482179226069246,0.554133036459783,0.432717678100264,0.469278350515464,0.55807348677593,0.473970473970474,0.461515333734215,0.574803149606299,0.464333524574488,0.557485525227461,0.554131891383566,0.477567298105683,0.471428571428571,0.542075223181619,0.462952215128652,0.549529067879182,0.478529714874614,0.456624734520503,0.450719232818327,0.542140071222656,0.45679012345679,0.482725527831094,0.476678043230944,0.543925821153544,0.536331300813008,0.474206349206349,0.458858659588587
"BORDER",0.496933858957512,0.523665757693806,0.518169792234067,0.520523648648649,0.502653851671209,0.469247733398677,0.431578947368421,0.53336284165099,0.514034289182218,0.520421289596398,0.493975903614458,0.516548173571954,0.5284909979583,0.48361310951239,0.497764017887857,0.528540960983565,0.499696417729205,0.524601256645723,0.508948665737863,0.463019250253293,0.503351280079112,0.506295754026354,0.49783105022831,0.508341845420497,0.510100609997623,0.496816397732229,0.46816622188334,0.498877568640995,0.484705882352941,0.461344537815126,0.50970096689505,0.505690504501444,0.503550595992899,0.463137996219282,0.502324905550712
"CHALET",0.539868667917448,0.482711600272718,0.542744339698654,0.470044911448182,0.459578082967578,0.512506513809276,0.504830917874396,0.498677831643896,0.558553857622065,0.484124202705544,0.510530137981118,0.544810126582278,0.484633149760171,0.481209150326797,0.525818309119552,0.496197481610772,0.528705522811613,0.49263378005893,0.468536770280516,0.432567432567433,0.548549958905718,0.468628622647147,0.550344580685581,0.481333333333333,0.549237275336052,0.535012550852592,0.500900900900901,0.45296105281878,0.444976076555024,0.447587354409318,0.552009062437529,0.452320244773075,0.45789763346175,0.462745098039216,0.548571049665142
"CLUB_HOUSE",0.497084548104956,0.515905947441217,0.519815883913247,0.51268801328781,0.503789929615593,0.498841102240536,0.458033573141487,0.518880068654795,0.525946817082998,0.513404507710558,0.475742215785663,0.502620545073375,0.512842813242883,0.474195961106956,0.504313319530711,0.525294788893115,0.507769844603108,0.518875422213392,0.50291036088475,0.440559440559441,0.51732249786142,0.5024587792884,0.506260071897855,0.501732283464567,0.517241379310345,0.509289451732767,0.484506226469736,0.4851554313657,0.41439205955335,0.449185415050427,0.524295024843518,0.486122382730076,0.488765432098765,0.441584158415842,0.509808057371863
"COASTLINE",0.512104283054004,0.508326540118784,0.530200158716163,0.490191756667401,0.482596084118927,0.480119284294235,0.451505016722408,0.519633507853403,0.536702076753756,0.5,0.471074380165289,0.534035656401945,0.498630351412695,0.490196078431373,0.521892508819257,0.521935775667119,0.513339920948617,0.498733108108108,0.496420047732697,0.475073313782991,0.522416174808489,0.493759177679883,0.514920028646455,0.499564459930314,0.521851453175457,0.520669917320331,0.497726333195535,0.482302867383513,0.46969696969697,0.437974683544304,0.531119019375247,0.484628167843789,0.479817708333333,0.476584022038567,0.518044707783463
"CONSULATE",0.48922305764411,0.536507339104253,0.499685880320402,0.524096920209461,0.508896797153025,0.486111111111111,0.453012048192771,0.541024198086663,0.50777856748006,0.52017792155277,0.477290223248653,0.496735308890005,0.527220458765048,0.506193228736581,0.486039676708303,0.546570589805177,0.488946684005202,0.533596837944664,0.520942938081748,0.450396825396825,0.493013745314097,0.512720461994693,0.506604264170567,0.522115064848686,0.500193963845139,0.491894469167196,0.455773126266036,0.51762076671824,0.466019417475728,0.474107142857143,0.503507825148408,0.522145328719723,0.519556631418015,0.481409001956947,0.501505918610352
"FAVELAS",0.534464013916069,0.484770528915415,0.550326464852031,0.474265900964352,0.458727616829233,0.530827067669173,0.480392156862745,0.489064261555806,0.556260720411664,0.476094066344806,0.512251148545176,0.52877220896314,0.478595941959179,0.506329113924051,0.546672973825292,0.489441153747103,0.535762483130904,0.477553675992193,0.474577944515747,0.444444444444444,0.544428772919605,0.461064104402696,0.548800892359175,0.466503838101884,0.557097936958356,0.546099290780142,0.535688140556369,0.445469798657718,0.419664268585132,0.405092592592593,0.552870485272027,0.45413910244949,0.468979641007108,0.502008032128514,0.544870778500079
"HEREFORD_BASE",0.474349797184443,0.529322493224932,0.503137659861784,0.53812378620282,0.504967119070939,0.479668858047236,0.464444444444444,0.548373195432019,0.500382438427413,0.536897472130633,0.482537419814683,0.491259184190524,0.529117323892077,0.501222493887531,0.478511059162021,0.547250462107209,0.48662620813666,0.534436834094368,0.516898801986948,0.467647058823529,0.486221340388007,0.516491228070175,0.488944018983928,0.512415349887133,0.505142346102251,0.48463808366603,0.475076777699031,0.520878752305886,0.448441247002398,0.451146983857264,0.503320839087262,0.503867973182053,0.508539148712559,0.486486486486487,0.492263843648208
"HOUSE",0.524033930254477,0.480074953154279,0.549344501092498,0.478005372733378,0.469904524699045,0.512496236073472,0.437340153452685,0.500266098988824,0.549379693111329,0.485230202578269,0.4874022589053,0.536199095022624,0.490967553346975,0.462735462735463,0.52364149611856,0.502593360995851,0.541851923448676,0.488618483163747,0.474751655629139,0.448390677025527,0.533847905858535,0.471879087341956,0.546047413413237,0.472847682119205,0.549803729146222,0.522461698260192,0.531723291035612,0.462240821761461,0.428934010152284,0.43312101910828,0.540931768674021,0.452108532200065,0.464422550629447,0.477326968973747,0.545206369840754
