"","BOPE-CAPITAO","BOPE-CAVEIRA","G.E.O.-JACKAL","G.E.O.-MIRA","GIGN-DOC","GIGN-MONTAGNE","GIGN-RESERVE","GIGN-ROOK","GIGN-TWITCH","GSG9-BANDIT","GSG9-BLITZ","GSG9-IQ","GSG9-JAGER","GSG9-RESERVE","JTF2-BUCK","JTF2-FROST","NAVYSEAL-BLACKBEARD","NAVYSEAL-VALKYRIE","SAS-MUTE","SAS-RESERVE","SAS-SLEDGE","SAS-SMOKE","SAS-THATCHER","SAT-ECHO","SAT-HIBANA","SPETSNAZ-FUZE","SPETSNAZ-GLAZ","SPETSNAZ-KAPKAN","SPETSNAZ-RESERVE","SPETSNAZ-TACHANKA","SWAT-ASH","SWAT-CASTLE","SWAT-PULSE","SWAT-RESERVE","SWAT-THERMITE"
"BANK",0.490247383444339,0.538503086419753,0.484415386954539,0.534523366803025,0.524320557491289,0.457761453701914,0.459770114942529,0.554229079851335,0.484956693511624,0.5357573668792,0.470927187008905,0.471677559912854,0.540786866685536,0.49714648065948,0.478371501272265,0.561436672967864,0.477145321259163,0.546789883268482,0.534932463903121,0.463671128107075,0.488576797547226,0.535754824063564,0.474926793557833,0.543519574306347,0.487771739130435,0.472205911137209,0.480187537810042,0.532667569397427,0.417085427135678,0.492372881355932,0.484763186880431,0.530520346897932,0.52409721268708,0.497041420118343,0.472740921460073
"BARTLETT_U.",0.473844710297912,0.551923226964188,0.482571886202425,0.54531490015361,0.530294203320711,0.452866394818901,0.497777777777778,0.573154839473996,0.47934400624756,0.545582574406159,0.450108459869848,0.474488741995455,0.559178016150416,0.490342679127726,0.472060443884779,0.572036270010075,0.473474272038293,0.558121964382083,0.540750637677639,0.465071770334928,0.478264996203493,0.537547842153887,0.461151236594441,0.535974130962005,0.487950626959248,0.459794514732105,0.469834850016852,0.523234200743494,0.452115812917595,0.464932126696833,0.477109487227531,0.522239665096808,0.534750213753512,0.455357142857143,0.459688473520249
"BORDER",0.498112257739743,0.515615641310858,0.509214437367304,0.51380383495633,0.498130572332471,0.493064876957494,0.428251121076233,0.539720180222907,0.513782719481121,0.518761075583635,0.5171858216971,0.501900237529691,0.519540924192087,0.470103092783505,0.493845642049235,0.531045167441306,0.502917882451021,0.527356058435978,0.506141971953473,0.449480642115203,0.505275374551593,0.500762970498474,0.504846618770669,0.517323775388292,0.510545332325015,0.493626882966396,0.497667514843087,0.507077584662247,0.43559718969555,0.478775913129319,0.506083354905514,0.484984144749114,0.513535589264878,0.419921875,0.50260029717682
"CHALET",0.553469852104664,0.4749479889043,0.547529216895187,0.461835844567803,0.463386057410662,0.50402212166918,0.414691943127962,0.492989814260036,0.55866138675363,0.466326248964946,0.537939543491672,0.538441422594142,0.473540416938885,0.467775467775468,0.531210874619925,0.487539531941809,0.532075471698113,0.477306967984934,0.468003084040092,0.424180327868852,0.549981999279971,0.466549533720773,0.56345001302875,0.471273938384679,0.553936814535931,0.536999018120146,0.535252017664078,0.451366933234145,0.474201474201474,0.424453280318091,0.549816010553357,0.470946319867183,0.456616889804325,0.448770491803279,0.554422887208155
"CLUB_HOUSE",0.520710059171598,0.495912332579579,0.521707272394211,0.493224932249323,0.493073593073593,0.494628789687276,0.420792079207921,0.515360355098703,0.527445490794944,0.501776610536073,0.519414385741566,0.520363236103467,0.503839981659789,0.480176211453745,0.516178474114441,0.517444779116466,0.522121669180493,0.505198960207958,0.491887019230769,0.44294003868472,0.514635211882918,0.489399744572158,0.505688211026378,0.488486842105263,0.523269427776965,0.518931309777883,0.52367941712204,0.480627856149414,0.441253263707572,0.42354031510658,0.528868513720019,0.480322338830585,0.49048083963876,0.458823529411765,0.51745438873725
"COASTLINE",0.512320606552938,0.498709245625777,0.527476467951591,0.488259570229116,0.486052409129332,0.495201535508637,0.458762886597938,0.521633585606169,0.529674418604651,0.496723600816414,0.490184049079755,0.523478260869565,0.501278590708908,0.466929133858268,0.519984700707592,0.516164234074478,0.536549347772582,0.500998003992016,0.50074173971679,0.444444444444444,0.522006141248721,0.490334679746105,0.516862170087977,0.49553361542078,0.527425203989121,0.5232922293991,0.509319371727749,0.474103585657371,0.457063711911357,0.43586387434555,0.526112185686654,0.482491088278465,0.482872294682528,0.452436194895592,0.523244971360064
"CONSULATE",0.482390300230947,0.537054133445237,0.489207390778795,0.516396121581872,0.51457415043367,0.456921086675291,0.440758293838863,0.547091082498808,0.50135168346031,0.524726581074655,0.459153249850924,0.492221030042918,0.530735619800084,0.481535119478639,0.483858858858859,0.557398458926473,0.499171989590726,0.535404840155363,0.520177064031295,0.444444444444444,0.500514579759863,0.518629124004551,0.490497455602866,0.526860326303223,0.496537510305029,0.494811358700024,0.47760015788435,0.523766162811874,0.48974358974359,0.458706467661692,0.498958477989168,0.514285714285714,0.522651802656547,0.469387755102041,0.49537037037037
"FAVELAS",0.539036144578313,0.477629442540141,0.545317647058824,0.467987804878049,0.460528235809135,0.52191894127378,0.467706013363029,0.493430314406382,0.556833259619637,0.481213552816122,0.528245192307692,0.539434724091521,0.480285697694675,0.477477477477477,0.537306572698024,0.4891444666119,0.533812949640288,0.467782691092862,0.476794884216646,0.448579823702253,0.556355666875391,0.458418829209415,0.546806167400881,0.462488967343336,0.546270772623454,0.54327679664277,0.535473173042757,0.453725757060225,0.424403183023873,0.447212336892052,0.550512255219816,0.444159431728492,0.468361581920904,0.470103092783505,0.551964659381539
"HEREFORD_BASE",0.50415353766829,0.525721809461112,0.496162528216704,0.533312382149591,0.508423757852656,0.476233183856502,0.441527446300716,0.548098700679461,0.501784266017843,0.525098921561021,0.477900552486188,0.492089031912041,0.523677048684608,0.478322672352523,0.472642001042209,0.547659144493095,0.4960520204366,0.527120223671948,0.521458143996769,0.475977653631285,0.495584125209614,0.512984615384615,0.488908126826101,0.522310756972112,0.491407851174523,0.486933953821371,0.486926639772897,0.536774861878453,0.4609375,0.500496524329692,0.504840755825599,0.501586708978906,0.514777131782946,0.458874458874459,0.492227979274611
"HOUSE",0.521963123644252,0.475247524752475,0.545940390544707,0.468048042541487,0.470517448856799,0.519325551232166,0.450602409638554,0.497606614447345,0.552638036809816,0.474562529558814,0.532247964934252,0.526969782547303,0.476114474408365,0.443997317236754,0.535859030837004,0.492410443230115,0.537632179141613,0.480909829406986,0.476144809398226,0.449905482041588,0.531218781218781,0.46906334067009,0.548112155488291,0.466376582278481,0.547243097188212,0.53360900932606,0.532609695520191,0.456778186037517,0.420365535248042,0.457142857142857,0.549836155106499,0.463897651594812,0.467151422375303,0.48619957537155,0.549454635597422
